utc	phase	state	detail
2026-07-15T01:35:01Z	verify_asyncs_managed_prewarm_pool	start	command=verify_asyncs_managed_prewarm_pool
2026-07-15T01:35:02Z	verify_asyncs_managed_prewarm_pool	end	exit_code=0
2026-07-15T01:54:29Z	verify_asyncs_premeasurement_correctness	start	command=verify_asyncs_backend_pressure_premeasurement c1_asyncs_c1a0_child3_sleep50_w80_262_ccompletion-window
2026-07-15T01:54:38Z	verify_asyncs_premeasurement_correctness	end	exit_code=0
2026-07-15T01:55:24Z	collect_filtered_markers	start	command=collect_filtered_markers ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3/data/asyncs/backend-pressure-c1-a0-child3-w80-cap100000-sleep50-5x8
2026-07-15T01:55:48Z	collect_filtered_markers	end	exit_code=0
2026-07-15T01:55:48Z	materialize_marker_tsvs	start	command=materialize_marker_tsvs 80 ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3/data/asyncs/backend-pressure-c1-a0-child3-w80-cap100000-sleep50-5x8
2026-07-15T01:55:52Z	materialize_marker_tsvs	end	exit_code=0
2026-07-15T01:55:52Z	require_marker_discovery	start	command=require_completion_window_marker_discovery_complete ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3/data/asyncs/backend-pressure-c1-a0-child3-w80-cap100000-sleep50-5x8 100000
2026-07-15T01:55:53Z	require_marker_discovery	end	exit_code=0
2026-07-15T01:55:53Z	verify_asyncs_action_execution_capacity	start	command=verify_asyncs_action_execution_capacity ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3/data/asyncs/backend-pressure-c1-a0-child3-w80-cap100000-sleep50-5x8
2026-07-15T01:55:55Z	verify_asyncs_action_execution_capacity	end	exit_code=0
2026-07-15T01:55:55Z	materialize_asyncs_compatible	start	command=materialize_asyncs_compatible_point ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3/data/asyncs/backend-pressure-c1-a0-child3-w80-cap100000-sleep50-5x8
2026-07-15T01:55:57Z	materialize_asyncs_compatible	end	exit_code=0
2026-07-15T01:55:57Z	capture_container_lifecycle	start	command=capture_container_lifecycle after completion-window 262_asyncs-c1-a0-sleep50-w80-child3-completion-window c1_asyncs_c1a0_child3_sleep50_w80_262_ccompletion-window
2026-07-15T01:55:58Z	capture_container_lifecycle	end	exit_code=0
2026-07-15T01:55:58Z	remote_summary	start	command=python3 ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/current-scripts/C1/internal-pressure/build_backend_pressure_summary.py --round-root ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3 --output ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/262_asyncs-c1-a0-sleep50-w80-child3/figures/backend-pressure
2026-07-15T01:56:00Z	remote_summary	end	exit_code=0
2026-07-15T01:56:00Z	final_status	end	exit_code=0
