utc	phase	state	detail
2026-07-15T03:56:01Z	verify_native_prewarm_pool	start	command=verify_native_prewarm_pool
2026-07-15T03:56:03Z	verify_native_prewarm_pool	end	exit_code=0
2026-07-15T03:56:45Z	collect_filtered_markers	start	command=collect_filtered_markers ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/269_native-c1-n0-sleep50-w80-conditioned-confirmation/data/native/backend-pressure-completion-window-w80-n100000-p0-plateau-sleep50-cap8
2026-07-15T03:57:24Z	collect_filtered_markers	end	exit_code=0
2026-07-15T03:57:24Z	materialize_marker_tsvs	start	command=materialize_marker_tsvs 80 ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/269_native-c1-n0-sleep50-w80-conditioned-confirmation/data/native/backend-pressure-completion-window-w80-n100000-p0-plateau-sleep50-cap8
2026-07-15T03:57:29Z	materialize_marker_tsvs	end	exit_code=0
2026-07-15T03:57:29Z	require_marker_discovery	start	command=require_completion_window_marker_discovery_complete ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/269_native-c1-n0-sleep50-w80-conditioned-confirmation/data/native/backend-pressure-completion-window-w80-n100000-p0-plateau-sleep50-cap8 100000
2026-07-15T03:57:30Z	require_marker_discovery	end	exit_code=0
2026-07-15T03:57:30Z	verify_native_action_execution_capacity	start	command=verify_native_action_execution_capacity ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/269_native-c1-n0-sleep50-w80-conditioned-confirmation/data/native/backend-pressure-completion-window-w80-n100000-p0-plateau-sleep50-cap8
2026-07-15T03:57:32Z	verify_native_action_execution_capacity	end	exit_code=0
2026-07-15T03:57:32Z	capture_container_lifecycle	start	command=capture_container_lifecycle after completion-window 269_native-c1-n0-sleep50-w80-conditioned-confirmation-completion-window c1_backend_pressure_native_sleep50_269_ccompletion-window
2026-07-15T03:57:33Z	capture_container_lifecycle	end	exit_code=0
2026-07-15T03:57:33Z	remote_summary	start	command=python3 ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/current-scripts/C1/internal-pressure/build_backend_pressure_summary.py --round-root ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/269_native-c1-n0-sleep50-w80-conditioned-confirmation --output ANONYMOUS_WORKSPACE/asyncs-sgx-collection-20260615/experiments/collections/269_native-c1-n0-sleep50-w80-conditioned-confirmation/figures/backend-pressure
2026-07-15T03:57:37Z	remote_summary	end	exit_code=0
2026-07-15T03:57:37Z	final_status	end	exit_code=0
