status	operation	kind	source_binding_id	target_binding_id	correlation_hash	payload_length	input_direction	output_direction	pid	tid	enqueue_unix_ns	enqueue_mono_ns	dequeue_unix_ns	dequeue_mono_ns	event_unix_ns	queue_wait_ns	service_ns
SUCCESS	to_target	CODE	2	9	5eb2931bc0f39b4b3060b9d8aa4f26c5204d16288cf80e1c6767a97cd955941d	333009	1	2	90008	90014	1784380699564108167	18318654168817	1784380699564124262	18318654184779	1784380699565489042	15962	1321678
SUCCESS	to_target	INPUT	2	9	50bd4ab7943e59fc8e65a17bda35c16e99aa548ce044b45159dbe620cc19d88f	38	1	2	90008	90014	1784380699589815933	18318679876581	1784380699589830062	18318679890595	1784380699589874524	14014	37096
SUCCESS	to_target	CODE	2	22	5eb2931bc0f39b4b3060b9d8aa4f26c5204d16288cf80e1c6767a97cd955941d	333009	1	2	90008	90014	1784380699595502051	18318685562689	1784380699595515620	18318685576160	1784380699596820051	13471	1281137
SUCCESS	to_target	INPUT	2	22	877b5f1679c617fc8c271d7d3f52010d5006bf96b3317d6959ac1d8ff7c15ef1	38	1	2	90008	90014	1784380699624599588	18318714660200	1784380699624614482	18318714674990	1784380699624665402	14790	43445
SUCCESS	to_target	CODE	2	2	5eb2931bc0f39b4b3060b9d8aa4f26c5204d16288cf80e1c6767a97cd955941d	333009	1	2	90008	90014	1784380700092364584	18319182425118	1784380700092379212	18319182439714	1784380700093720050	14596	1298373
SUCCESS	to_target	INPUT	2	2	2fda75ba3de8226b3456000df41141043172b4bcfe4911ae7a6cfcfd8e1170a8	38	1	2	90008	90014	1784380700097693921	18319187754513	1784380700097708007	18319187768513	1784380700097750686	14000	35951
SUCCESS	to_target	CODE	2	39	5eb2931bc0f39b4b3060b9d8aa4f26c5204d16288cf80e1c6767a97cd955941d	333009	1	2	90008	90014	1784380700110843551	18319200904107	1784380700110853256	18319200913766	1784380700112197115	9659	1321754
SUCCESS	to_target	INPUT	2	39	5262be1c26f40e5fbee0b1c1319a65ebcad3d85c74befded81a69648af327676	38	1	2	90008	90014	1784380700114215336	18319204275884	1784380700114228275	18319204288780	1784380700114257476	12896	23547
SUCCESS	to_target	CODE	2	34	5eb2931bc0f39b4b3060b9d8aa4f26c5204d16288cf80e1c6767a97cd955941d	333009	1	2	90008	90014	1784380700271866497	18319361927155	1784380700271884408	18319361944938	1784380700273278015	17783	1357320
SUCCESS	to_target	INPUT	2	34	323bda2d07f7c238420c3d20a86ea9c058c17e00596e15d180d5d5ee284f38d8	38	1	2	90008	90014	1784380700276877439	18319366937983	1784380700276888345	18319366948848	1784380700276939783	10865	45158
