schema_version	profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	measurement_sequence	terminal_success	store_evidence_status	rid_status	decrypt_status	workload_status	payload_evidence_status	analysis_eligible	quality_reason	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit	cfunc_decrypt_executed	fresh_placement_eligible	warm_reuse_eligible	client_start_unix_ns	client_end_unix_ns	first_result_latency_ms	activation_duration_ms	upload_elapsed_ms	artifact_size_observed_bytes	c_func_bytes	action_zip_bytes	action_fetch_duration_ns	action_fetch_status	runtime_init_duration_ns	runtime_init_status	function_key_decap_duration_ns	cfunc_aes_gcm_duration_ns	wasm_load_duration_ns	wasm_instantiate_duration_ns	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns	outer_execution_duration_ns	tsc_hz	tsc_frequency_method	phase_evidence_status
c2-asyncs-attempt-v1	asyncs	65536	1	fresh_first_use	0	s65536-g001-fresh	5d3d0414e8f84e81bd0414e8f85e8113	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	1	true	present	match	ok	match	match	true	ok	1127de69c7d0	false	true	false	false	true	true	false	1784516003953564671	1784516005959065549	2005.501494	1255	87.728963	65692	65564	65692		unavailable_no_direct_event		not_on_path_preinitialized_runtime	10588781	42653	5811728	183002	12208180	1747	50415428	367808	3371	80592103	2699817878	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	65536	1	warm_followup	1	s65536-g001-warm01	03120eca6bbd4eb3920eca6bbdceb3ac	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	2	true	present	match	ok	match	match	true	ok	1127de69c7d0	false	false	true	true	false	false	true	1784516005973092089	1784516006071141249	98.04981	71	87.728963	65692	65564	65692		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	2592861	136859	4722530	2519	50095996	373814	3785	58407083	2699817878	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	65536	1	warm_followup	2	s65536-g001-warm02	b8f6a110ff634365b6a110ff637365aa	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	3	true	present	match	ok	match	match	true	ok	1127de69c7d0	false	false	true	true	false	false	true	1784516006346139517	1784516006441829637	95.690673	71	87.728963	65692	65564	65692		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	2348184	174926	4469759	2461	50100957	421489	3972	58016030	2699817878	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	65536	1	warm_followup	3	s65536-g001-warm03	e38a590b3e7f43278a590b3e7f832702	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	4	true	present	match	ok	match	match	true	ok	1127de69c7d0	false	false	true	true	false	false	true	1784516006712811458	1784516006812932778	100.120801	78	87.728963	65692	65564	65692		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	2226493	129230	4659934	2276	50097532	431719	4676	58063089	2699817878	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	65536	1	warm_followup	4	s65536-g001-warm04	71c58099e5f54409858099e5f534094f	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	5	true	present	match	ok	match	match	true	ok	1127de69c7d0	false	false	true	true	false	false	true	1784516007081733609	1784516007168764110	87.03061	65	87.728963	65692	65564	65692		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	2247294	130569	4331606	2376	50087640	221124	2114	57461119	2699817878	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	65536	1	warm_followup	5	s65536-g001-warm05	6319f1b68fe74a1099f1b68fe7fa1042	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	6	true	present	match	ok	match	match	true	ok	1127de69c7d0	false	false	true	true	false	false	true	1784516007434552116	1784516007516452300	81.900221	62	87.728963	65692	65564	65692		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	1659276	105503	4376401	2157	50079908	210690	1867	56912770	2699817878	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	262144	1	fresh_first_use	0	s262144-g001-fresh	6471820bf5d04f0eb1820bf5d0df0e68	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	7	true	present	match	ok	match	match	true	ok	02f682d5a567	false	true	false	false	true	true	false	1784516007789089946	1784516009179873723	1390.784227	1140	108.065569	262300	262172	262300		unavailable_no_direct_event		not_on_path_preinitialized_runtime	4849193	181657	3138246	205087	6454966	4820	50180629	381476	4080	67960571	2699882526	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	262144	1	warm_followup	1	s262144-g001-warm01	7446a63d512746c486a63d512746c46d	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	8	true	present	match	ok	match	match	true	ok	02f682d5a567	false	false	true	true	false	false	true	1784516009199536983	1784516009299907762	100.370744	78	108.065569	262300	262172	262300		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	2264915	128957	4385884	2644	50091377	423838	4471	58609958	2699882526	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	262144	1	warm_followup	2	s262144-g001-warm02	4285c5ad43dd46ff85c5ad43dd46ff01	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	9	true	present	match	ok	match	match	true	ok	02f682d5a567	false	false	true	true	false	false	true	1784516009578456276	1784516009673524416	95.067844	65	108.065569	262300	262172	262300		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	2210338	145658	4330311	2146	50084636	237224	2198	58260626	2699882526	calibrated_monotonic_raw_20ms	complete
c2-asyncs-attempt-v1	asyncs	262144	1	warm_followup	3	s262144-g001-warm03	c6a25c8f77604562a25c8f7760e562ea	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	10	true	present	match	ok	match	match	true	ok	02f682d5a567	false	false	true	true	false	false	true	1784516009682195185	1784516009772091030	89.895718	67	108.065569	262300	262172	262300		unavailable_no_direct_event		not_on_path_preinitialized_runtime	0	0	1678704	93372	4347551	1827	50078067	224899	2073	57732732	2699882526	calibrated_monotonic_raw_20ms	complete
