schema_version	profile	artifact_size_bytes	fresh_group	logical_request_id	activation_id	first_result_latency_ms	upload_duration_ms	action_fetch_duration_ms	action_fetch_status	runtime_init_duration_ms	runtime_init_status	kms_key_release_duration_ms	function_key_decap_duration_ms	cfunc_aes_gcm_duration_ms	wasm_load_duration_ms	wasm_instantiate_duration_ms	input_key_decap_duration_ms	input_aes_gcm_duration_ms	workload_core_duration_ms	output_kem_duration_ms	output_aes_gcm_duration_ms	outer_execution_duration_ms	fresh_placement_eligible	phase_evidence_status
c2-asyncs-phase-breakdown-v1	asyncs	65536	1	s65536-g001-fresh	5d3d0414e8f84e81bd0414e8f85e8113	2005.501494	87.728963		unavailable_no_direct_event		not_on_path_preinitialized_runtime	84.056106	10.588781	0.042653	5.811728	0.183002	12.208180	0.001747	50.415428	0.367808	0.003371	80.592103	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	262144	1	s262144-g001-fresh	6471820bf5d04f0eb1820bf5d0df0e68	1390.784227	108.065569		unavailable_no_direct_event		not_on_path_preinitialized_runtime	32.095038	4.849193	0.181657	3.138246	0.205087	6.454966	0.004820	50.180629	0.381476	0.004080	67.960571	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	1048576	1	s1048576-g001-fresh	630555d41c0045f18555d41c00a5f1d9	2148.444701	212.685656		unavailable_no_direct_event		not_on_path_preinitialized_runtime	32.230793	4.617657	0.682791	2.482366	0.180755	5.806611	0.003834	50.156039	0.369327	0.003266	72.002268	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	4194304	1	s4194304-g001-fresh	7a207c39ccc644a2a07c39ccc6c4a29a	2548.906174	462.672525		unavailable_no_direct_event		not_on_path_preinitialized_runtime	32.377848	4.411453	2.568431	2.432881	0.186050	5.798776	0.003362	50.144990	0.392228	0.003513	94.549765	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	65536	2	s65536-g002-fresh	24dded8a96c240889ded8a96c2e088d4	1153.367359	58.511073		unavailable_no_direct_event		not_on_path_preinitialized_runtime	31.619302	4.288916	0.052448	2.792987	0.244088	6.029973	0.002486	50.640263	0.391946	0.003952	65.325619	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	262144	2	s262144-g002-fresh	6862b46c86a4419ca2b46c86a4319c6f	1397.150806	65.048567		unavailable_no_direct_event		not_on_path_preinitialized_runtime	34.843673	14.925257	0.185296	2.308392	0.181888	26.379733	0.004172	53.294221	0.387383	0.004400	107.660626	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	1048576	2	s1048576-g002-fresh	b86d6de959c046b7ad6de959c0c6b778	1413.809785	186.550084		unavailable_no_direct_event		not_on_path_preinitialized_runtime	31.157355	4.526418	0.728902	2.720031	0.186277	6.124403	0.003557	50.139249	0.365305	0.003961	73.212480	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	4194304	2	s4194304-g002-fresh	d02aa9179aa544aaaaa9179aa514aafc	1957.777196	487.344816		unavailable_no_direct_event		not_on_path_preinitialized_runtime	31.965217	2.337611	1.552769	1.478541	0.157006	3.247527	0.002868	50.111095	0.218039	0.001935	80.175012	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	65536	3	s65536-g003-fresh	df5fd93f4bc84f049fd93f4bc83f0485	1188.663178	69.565265		unavailable_no_direct_event		not_on_path_preinitialized_runtime	32.436423	4.294198	0.049997	2.806487	0.303859	6.014904	0.003222	50.141206	0.481111	0.004233	65.016540	true	complete
c2-asyncs-phase-breakdown-v1	asyncs	262144	3	s262144-g003-fresh	f2f093fa9a204708b093fa9a20c70837	1328.562596	54.876390		unavailable_no_direct_event		not_on_path_preinitialized_runtime	31.657682	4.424681	0.188244	2.854893	0.230008	5.993240	0.004333	50.143952	0.217554	0.002071	66.392350	true	complete
