profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	terminal_success	activation_get_status	store_evidence_status	expected_rid	actual_rid	rid_status	decrypt_status	workload_status	request_payload_bytes	request_payload_sha256	payload_evidence_status	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit	cfunc_decrypt_executed	fresh_placement_eligible	warm_reuse_eligible	analysis_eligible	quality_reason	measurement_sequence	client_start_unix_ns	client_end_unix_ns	client_elapsed_ms	activation_duration_ms	c_req_bytes	c_key_bytes	c_out_bytes	ct_bytes	worker_keypath_dur_ns	worker_wait_kms_dur_ns	kms_verify_dur_ns	kms_key_release_dur_ns	kms_total_dur_ns	quote_gen_dur_ns	worker_exec_dur_ns	worker_invoke_dur_ns	adapter_invoke_dur_ns	function_key_decap_cycles	cfunc_aes_gcm_cycles	wasm_load_cycles	wasm_instantiate_cycles	input_key_decap_cycles	input_aes_gcm_cycles	workload_core_cycles	output_kem_cycles	output_aes_gcm_cycles	function_key_decap_duration_ns	cfunc_aes_gcm_duration_ns	wasm_load_duration_ns	wasm_instantiate_duration_ns	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns	tsc_hz	tsc_frequency_method
asyncs	65536	1	fresh_first_use	0	s65536-g001-fresh	5d3d0414e8f84e81bd0414e8f85e8113	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	true	200	present	58a4e27f98f3b59491b3e21bf0de8e7777586eca9644202d9a8d5a55e9ba9944	58a4e27f98f3b59491b3e21bf0de8e7777586eca9644202d9a8d5a55e9ba9944	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	1127de69c7d0	false	true	false	false	true	true	false	true	ok	1	1784516003953564671	1784516005959065549	2005.501494	1255	1052	263	573	65	1100352400	84086666	77306850	3298306	80605525	1016038644	80592208	1181305835	1191863278	28587781	115158	15690609	494074	32959865	4718	136112475	993015	9102	10588781	42653	5811728	183002	12208180	1747	50415428	367808	3371	2699817878	calibrated_monotonic_raw_20ms
asyncs	65536	1	warm_followup	1	s65536-g001-warm01	03120eca6bbd4eb3920eca6bbdceb3ac	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	true	200	present	372a1dfa3fd2fad7ae94f0691918a4e714f87aaba6708f418aceb85eb443f792	372a1dfa3fd2fad7ae94f0691918a4e714f87aaba6708f418aceb85eb443f792	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	1127de69c7d0	false	false	true	true	false	false	true	true	ok	2	1784516005973092089	1784516006071141249	98.04981	71	1052	263	573	65	345	0	0	0	0	0	58407215	58536898	63358076	0	0	7000255	369496	12749972	6802	135250068	1009231	10221	0	0	2592861	136859	4722530	2519	50095996	373814	3785	2699817878	calibrated_monotonic_raw_20ms
asyncs	65536	1	warm_followup	2	s65536-g001-warm02	b8f6a110ff634365b6a110ff637365aa	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	true	200	present	99cae32039742373438d1c559932087dee9d6c80eedc2541afdc504bdc243fd6	99cae32039742373438d1c559932087dee9d6c80eedc2541afdc504bdc243fd6	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	1127de69c7d0	false	false	true	true	false	false	true	true	ok	3	1784516006346139517	1784516006441829637	95.690673	71	1052	263	573	65	278	0	0	0	0	0	58016157	58138836	59057624	0	0	6339671	472269	12067537	6646	135263462	1137946	10724	0	0	2348184	174926	4469759	2461	50100957	421489	3972	2699817878	calibrated_monotonic_raw_20ms
asyncs	65536	1	warm_followup	3	s65536-g001-warm03	e38a590b3e7f43278a590b3e7f832702	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	true	200	present	134a93c5212a4735aa362fb961b675c28f9caaf61b6f1ad71c3c1a68deac2437	134a93c5212a4735aa362fb961b675c28f9caaf61b6f1ad71c3c1a68deac2437	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	1127de69c7d0	false	false	true	true	false	false	true	true	ok	4	1784516006712811458	1784516006812932778	100.120801	78	1052	263	573	65	283	0	0	0	0	0	58063239	58197510	65682243	0	0	6011127	348898	12580974	6145	135254215	1165563	12627	0	0	2226493	129230	4659934	2276	50097532	431719	4676	2699817878	calibrated_monotonic_raw_20ms
asyncs	65536	1	warm_followup	4	s65536-g001-warm04	71c58099e5f54409858099e5f534094f	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	true	200	present	4fb505af5d2c7ec54a94e1f080eb5bbdcc700ccb54623fd13d61b39164e01150	4fb505af5d2c7ec54a94e1f080eb5bbdcc700ccb54623fd13d61b39164e01150	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	1127de69c7d0	false	false	true	true	false	false	true	true	ok	5	1784516007081733609	1784516007168764110	87.03061	65	1052	263	573	65	334	0	0	0	0	0	57461235	57583144	58206109	0	0	6067287	352515	11694550	6415	135227507	596996	5709	0	0	2247294	130569	4331606	2376	50087640	221124	2114	2699817878	calibrated_monotonic_raw_20ms
asyncs	65536	1	warm_followup	5	s65536-g001-warm05	6319f1b68fe74a1099f1b68fe7fa1042	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548	2e15ae7c4b65ae762433ef57ded8d94e3adce6fc61e22f9f7183c76812b7d211	true	200	present	2b4bcbafdc88051598e40aef299dfdd13a343652f97577bfa2c1fed7b1b019a0	2b4bcbafdc88051598e40aef299dfdd13a343652f97577bfa2c1fed7b1b019a0	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	1127de69c7d0	false	false	true	true	false	false	true	true	ok	6	1784516007434552116	1784516007516452300	81.900221	62	1052	263	573	65	212	0	0	0	0	0	56912893	57041356	57641465	0	0	4479745	284839	11815488	5825	135206632	568825	5042	0	0	1659276	105503	4376401	2157	50079908	210690	1867	2699817878	calibrated_monotonic_raw_20ms
asyncs	262144	1	fresh_first_use	0	s262144-g001-fresh	6471820bf5d04f0eb1820bf5d0df0e68	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	true	200	present	46772c0932de0731cc126805ccd41c355c8af89876b0c326e4049c846a21758b	46772c0932de0731cc126805ccd41c355c8af89876b0c326e4049c846a21758b	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	02f682d5a567	false	true	false	false	true	true	false	true	ok	7	1784516007789089946	1784516009179873723	1390.784227	1140	1052	263	573	65	1006127528	32124526	28346617	2128819	30475765	973971826	67960688	1074520345	1076010118	13092254	490453	8472898	553712	17427651	13015	135481804	1029942	11018	4849193	181657	3138246	205087	6454966	4820	50180629	381476	4080	2699882526	calibrated_monotonic_raw_20ms
asyncs	262144	1	warm_followup	1	s262144-g001-warm01	7446a63d512746c486a63d512746c46d	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	true	200	present	2997cf0ede3b45bc85c34c1cc6102437c5d5e341b78a4c07806132a951a30e5c	2997cf0ede3b45bc85c34c1cc6102437c5d5e341b78a4c07806132a951a30e5c	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	02f682d5a567	false	false	true	true	false	false	true	true	ok	8	1784516009199536983	1784516009299907762	100.370744	78	1052	263	573	65	301	0	0	0	0	0	58610079	58856898	67816498	0	0	6115005	348170	11841373	7141	135240835	1144315	12072	0	0	2264915	128957	4385884	2644	50091377	423838	4471	2699882526	calibrated_monotonic_raw_20ms
asyncs	262144	1	warm_followup	2	s262144-g001-warm02	4285c5ad43dd46ff85c5ad43dd46ff01	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	true	200	present	67a955be24978898c2abdd8800b93407396e5a0260107a46eb0d15ff1aefa0c0	67a955be24978898c2abdd8800b93407396e5a0260107a46eb0d15ff1aefa0c0	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	02f682d5a567	false	false	true	true	false	false	true	true	ok	9	1784516009578456276	1784516009673524416	95.067844	65	1052	263	573	65	283	0	0	0	0	0	58260728	58428697	59026607	0	0	5967655	393262	11691332	5796	135222634	640479	5935	0	0	2210338	145658	4330311	2146	50084636	237224	2198	2699882526	calibrated_monotonic_raw_20ms
asyncs	262144	1	warm_followup	3	s262144-g001-warm03	c6a25c8f77604562a25c8f7760e562ea	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	true	200	present	49879f6625b1b3d615d90a079526677b7938bf9580ec9b18eaf823faa21cc493	49879f6625b1b3d615d90a079526677b7938bf9580ec9b18eaf823faa21cc493	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	02f682d5a567	false	false	true	true	false	false	true	true	ok	10	1784516009682195185	1784516009772091030	89.895718	67	1052	263	573	65	199	0	0	0	0	0	57732862	57886192	58485111	0	0	4532306	252094	11737877	4933	135204899	607202	5599	0	0	1678704	93372	4347551	1827	50078067	224899	2073	2699882526	calibrated_monotonic_raw_20ms
