measurement_sequence	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision
1	65536	1	fresh_first_use	0	s65536-g001-fresh	5d3d0414e8f84e81bd0414e8f85e8113	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548
2	65536	1	warm_followup	1	s65536-g001-warm01	03120eca6bbd4eb3920eca6bbdceb3ac	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548
3	65536	1	warm_followup	2	s65536-g001-warm02	b8f6a110ff634365b6a110ff637365aa	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548
4	65536	1	warm_followup	3	s65536-g001-warm03	e38a590b3e7f43278a590b3e7f832702	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548
5	65536	1	warm_followup	4	s65536-g001-warm04	71c58099e5f54409858099e5f534094f	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548
6	65536	1	warm_followup	5	s65536-g001-warm05	6319f1b68fe74a1099f1b68fe7fa1042	/guest/c2_asyncs_sleep50_r340_s65536_g001	0.0.1@1784515954548
7	262144	1	fresh_first_use	0	s262144-g001-fresh	6471820bf5d04f0eb1820bf5d0df0e68	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155
8	262144	1	warm_followup	1	s262144-g001-warm01	7446a63d512746c486a63d512746c46d	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155
9	262144	1	warm_followup	2	s262144-g001-warm02	4285c5ad43dd46ff85c5ad43dd46ff01	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155
10	262144	1	warm_followup	3	s262144-g001-warm03	c6a25c8f77604562a25c8f7760e562ea	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155
11	262144	1	warm_followup	4	s262144-g001-warm04	98c7376770a44eae87376770a4eeae8e	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155
12	262144	1	warm_followup	5	s262144-g001-warm05	5e48035014ba493388035014ba093399	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155
13	1048576	1	fresh_first_use	0	s1048576-g001-fresh	630555d41c0045f18555d41c00a5f1d9	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653
14	1048576	1	warm_followup	1	s1048576-g001-warm01	360312d268d4403e8312d268d4d03eb4	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653
15	1048576	1	warm_followup	2	s1048576-g001-warm02	c888a117af7f451c88a117af7ff51c7b	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653
16	1048576	1	warm_followup	3	s1048576-g001-warm03	892ac697375b4c72aac697375bfc7265	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653
17	1048576	1	warm_followup	4	s1048576-g001-warm04	b8bc3b02122d4c80bc3b02122d9c8070	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653
18	1048576	1	warm_followup	5	s1048576-g001-warm05	ef64c80e673f4a0ea4c80e673f0a0e11	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653
19	4194304	1	fresh_first_use	0	s4194304-g001-fresh	7a207c39ccc644a2a07c39ccc6c4a29a	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357
20	4194304	1	warm_followup	1	s4194304-g001-warm01	ead2b0f0708a470a92b0f0708a470ae3	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357
21	4194304	1	warm_followup	2	s4194304-g001-warm02	92bd420906be40e4bd420906be50e4b9	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357
22	4194304	1	warm_followup	3	s4194304-g001-warm03	b706f4e0ff33445186f4e0ff33945196	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357
23	4194304	1	warm_followup	4	s4194304-g001-warm04	9cbb2a49b335466dbb2a49b335766d7b	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357
24	4194304	1	warm_followup	5	s4194304-g001-warm05	a1018a6664ab4a62818a6664ab5a624a	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357
25	65536	2	fresh_first_use	0	s65536-g002-fresh	24dded8a96c240889ded8a96c2e088d4	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970
26	65536	2	warm_followup	1	s65536-g002-warm01	3339013071c343f3b9013071c343f3f6	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970
27	65536	2	warm_followup	2	s65536-g002-warm02	6f643393a51a4d5fa43393a51a9d5fe0	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970
28	65536	2	warm_followup	3	s65536-g002-warm03	64f32b7af92845edb32b7af928f5ed1e	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970
29	65536	2	warm_followup	4	s65536-g002-warm04	f4e14d3b5d3c4125a14d3b5d3cd1254d	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970
30	65536	2	warm_followup	5	s65536-g002-warm05	9813b5077439405793b5077439005718	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970
31	262144	2	fresh_first_use	0	s262144-g002-fresh	6862b46c86a4419ca2b46c86a4319c6f	/guest/c2_asyncs_sleep50_r340_s262144_g002	0.0.1@1784515962360
32	262144	2	warm_followup	1	s262144-g002-warm01	bdab641bfbe142a4ab641bfbe192a420	/guest/c2_asyncs_sleep50_r340_s262144_g002	0.0.1@1784515962360
33	262144	2	warm_followup	2	s262144-g002-warm02	77d5fbabd3a34bc295fbabd3a38bc234	/guest/c2_asyncs_sleep50_r340_s262144_g002	0.0.1@1784515962360
34	262144	2	warm_followup	3	s262144-g002-warm03	2c547c352169473c947c352169473c66	/guest/c2_asyncs_sleep50_r340_s262144_g002	0.0.1@1784515962360
35	262144	2	warm_followup	4	s262144-g002-warm04	4083e6392f664b3583e6392f663b3587	/guest/c2_asyncs_sleep50_r340_s262144_g002	0.0.1@1784515962360
36	262144	2	warm_followup	5	s262144-g002-warm05	36aeeb6ed848435caeeb6ed848a35cf6	/guest/c2_asyncs_sleep50_r340_s262144_g002	0.0.1@1784515962360
37	1048576	2	fresh_first_use	0	s1048576-g002-fresh	b86d6de959c046b7ad6de959c0c6b778	/guest/c2_asyncs_sleep50_r340_s1048576_g002	0.0.1@1784515968967
