schema_version	profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	measurement_sequence	terminal_success	store_evidence_status	rid_status	decrypt_status	workload_status	payload_evidence_status	analysis_eligible	quality_reason	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit	cfunc_decrypt_executed	fresh_placement_eligible	warm_reuse_eligible	client_start_unix_ns	client_end_unix_ns	first_result_latency_ms	activation_duration_ms	upload_elapsed_ms	artifact_size_observed_bytes	c_func_bytes	action_zip_bytes	action_fetch_duration_ns	action_fetch_status	runtime_init_duration_ns	runtime_init_status	function_key_decap_duration_ns	cfunc_aes_gcm_duration_ns	wasm_load_duration_ns	wasm_instantiate_duration_ns	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns	outer_execution_duration_ns	tsc_hz	tsc_frequency_method	phase_evidence_status	target_binding_id	scheduler_operation	scheduler_warmed	gateway_code_status	gateway_input_status	gateway_result_count	raw_wasm_sha256	code_envelope_bytes	code_envelope_payload_length	gateway_code_queue_wait_ns	gateway_code_service_ns
c2-reusable-attempt-v1	reusable-concurrency	65536	1	fresh_first_use	0	s65536-g001-fresh	57baef35bdcb4202baef35bdcbf202d8	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	58f876d4774799afc6f5e85b0c2b2b1de1e7da7d2b60e243ae3fdd8527e1c63f	1	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:2						true	false	1784820023955401456	1784820036239901396	12284.49994	127	386.422529	65536				unavailable_no_direct_event		unavailable_no_direct_event							51448825			52178486			partial_with_explicit_unavailable	2	CODE_INPUT	false	present	present	0	0ae226ac4f77dd303a411d94101f83fed5335a0ab9227cbfc1d133e234b752be	65612	65536	13535	334488
c2-reusable-attempt-v1	reusable-concurrency	65536	1	warm_followup	1	s65536-g001-warm1	b2819679b3f54223819679b3f51223c7	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	58f876d4774799afc6f5e85b0c2b2b1de1e7da7d2b60e243ae3fdd8527e1c63f	2	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:2						false	true	1784820036633591350	1784820036786156902	152.565552	70	386.422529	65536				unavailable_no_direct_event		unavailable_no_direct_event							50159467			50657228			partial_with_explicit_unavailable	2	INPUT	true	not_expected	present	0	0ae226ac4f77dd303a411d94101f83fed5335a0ab9227cbfc1d133e234b752be	65612	65536		
c2-reusable-attempt-v1	reusable-concurrency	65536	1	warm_followup	2	s65536-g001-warm2	184a231aa42044868a231aa4200486a4	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	58f876d4774799afc6f5e85b0c2b2b1de1e7da7d2b60e243ae3fdd8527e1c63f	3	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:2						false	true	1784820036840339606	1784820037005398116	165.05851	72	386.422529	65536				unavailable_no_direct_event		unavailable_no_direct_event							50218619			52297882			partial_with_explicit_unavailable	2	INPUT	true	not_expected	present	0	0ae226ac4f77dd303a411d94101f83fed5335a0ab9227cbfc1d133e234b752be	65612	65536		
c2-reusable-attempt-v1	reusable-concurrency	65536	1	warm_followup	3	s65536-g001-warm3	acdf453c373e44929f453c373ed49281	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	58f876d4774799afc6f5e85b0c2b2b1de1e7da7d2b60e243ae3fdd8527e1c63f	4	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:2						false	true	1784820037054746774	1784820037225369365	170.622591	69	386.422529	65536				unavailable_no_direct_event		unavailable_no_direct_event							50141402			51823946			partial_with_explicit_unavailable	2	INPUT	true	not_expected	present	0	0ae226ac4f77dd303a411d94101f83fed5335a0ab9227cbfc1d133e234b752be	65612	65536		
c2-reusable-attempt-v1	reusable-concurrency	65536	1	warm_followup	4	s65536-g001-warm4	0a7158b19b7245b5b158b19b7255b586	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	58f876d4774799afc6f5e85b0c2b2b1de1e7da7d2b60e243ae3fdd8527e1c63f	5	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:2						false	true	1784820037264830021	1784820037448989064	184.159043	67	386.422529	65536				unavailable_no_direct_event		unavailable_no_direct_event							50122466			50680368			partial_with_explicit_unavailable	2	INPUT	true	not_expected	present	0	0ae226ac4f77dd303a411d94101f83fed5335a0ab9227cbfc1d133e234b752be	65612	65536		
c2-reusable-attempt-v1	reusable-concurrency	65536	1	warm_followup	5	s65536-g001-warm5	fc980486732a405b980486732ad05bd5	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	58f876d4774799afc6f5e85b0c2b2b1de1e7da7d2b60e243ae3fdd8527e1c63f	6	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:2						false	true	1784820037489238145	1784820037640525043	151.286898	65	386.422529	65536				unavailable_no_direct_event		unavailable_no_direct_event							50761934			52746942			partial_with_explicit_unavailable	2	INPUT	true	not_expected	present	0	0ae226ac4f77dd303a411d94101f83fed5335a0ab9227cbfc1d133e234b752be	65612	65536		
c2-reusable-attempt-v1	reusable-concurrency	262144	1	fresh_first_use	0	s262144-g001-fresh	dff3fe615cdd4b82b3fe615cdd5b8202	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.2@1784820038038	d6596b227507c4b48c225e896be82c3578cbada7f94741b60192113c1a28ccfb	7	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:1						true	false	1784820038733392919	1784820039789807504	1056.414585	215	493.205542	262144				unavailable_no_direct_event		unavailable_no_direct_event							50943457			53072446			partial_with_explicit_unavailable	1	CODE_INPUT	false	present	present	0	129ae8b8db9e82aaf6b3e7ab68524ac07f7be7c7adffd1f4b1a92d7bb9ecbdda	262220	262144	14087	941707
c2-reusable-attempt-v1	reusable-concurrency	262144	1	warm_followup	1	s262144-g001-warm1	9837757d9c7f418eb7757d9c7f518eeb	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.2@1784820038038	d6596b227507c4b48c225e896be82c3578cbada7f94741b60192113c1a28ccfb	8	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:1						false	true	1784820039863218418	1784820040033398253	170.179835	74	493.205542	262144				unavailable_no_direct_event		unavailable_no_direct_event							50120148			50618864			partial_with_explicit_unavailable	1	INPUT	true	not_expected	present	0	129ae8b8db9e82aaf6b3e7ab68524ac07f7be7c7adffd1f4b1a92d7bb9ecbdda	262220	262144		
c2-reusable-attempt-v1	reusable-concurrency	262144	1	warm_followup	2	s262144-g001-warm2	bbd866de6d60467d9866de6d60167d37	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.2@1784820038038	d6596b227507c4b48c225e896be82c3578cbada7f94741b60192113c1a28ccfb	9	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:1						false	true	1784820040346555982	1784820040498898622	152.34264	88	493.205542	262144				unavailable_no_direct_event		unavailable_no_direct_event							50128711			53221173			partial_with_explicit_unavailable	1	INPUT	true	not_expected	present	0	129ae8b8db9e82aaf6b3e7ab68524ac07f7be7c7adffd1f4b1a92d7bb9ecbdda	262220	262144		
c2-reusable-attempt-v1	reusable-concurrency	262144	1	warm_followup	3	s262144-g001-warm3	9c4f1b2a07654ecb8f1b2a07652ecb69	/guest/c2-reusable-360-request-level-direct-events_revision_rotation	0.0.2@1784820038038	d6596b227507c4b48c225e896be82c3578cbada7f94741b60192113c1a28ccfb	10	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:1						false	true	1784820040536603963	1784820040662817464	126.213501	62	493.205542	262144				unavailable_no_direct_event		unavailable_no_direct_event							50154486			51261206			partial_with_explicit_unavailable	1	INPUT	true	not_expected	present	0	129ae8b8db9e82aaf6b3e7ab68524ac07f7be7c7adffd1f4b1a92d7bb9ecbdda	262220	262144		
