artifact_size_bytes	fresh_group	action_name	phase	poll_index	observed_unix_ns	bridge_ready_url	active	capacity	container_identities_json
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	initial_baseline_idle_ready	1	1784820023386104008	http://host_131215316a:19200/ready	4	8	"[""7b227f945b3d9c873d030e797798fb97d42a8055177fb47b187f0688e6712460"",""9562f7d322160caebfbaf0ff2c2c78a98d0c852064c9d265f98581938ce0f3cc"",""b476e250e4e236c86e3cad335488a0cd69c62d36cc02c4a2fe2e00789880d51b"",""b5e11a5c8c5341cb70b065baf68a4090e020e0e017b7e0490b1c135976e1099f""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	initial_baseline_idle_ready	1	1784820023386104008	http://host_20da272088:19200/ready	4	8	"[""0010936e092d1076d2a0ef335962ae059f1f5322f89ebb97b99f4b86ed81e4c0"",""0d1079040eb42f0d778e81de6ba78504a84d53b876c741a209f70f1a4748d118"",""613ac43acfd998d8b87ac365da519bcc016f8cd7890ec50592d0c02413d6ec97"",""ddca7a6214f887583bd44e2b5f6b51db14ecd4ef7d58a7787373672ec484745b""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	initial_baseline_idle_ready	1	1784820023386104008	http://host_08173e0b6a:19200/ready	4	8	"[""0b05f633c1806adb00403d1e101a06d90ecb2b272ab8036df24fc043ccca89aa"",""1dbce40b31050451bfd5c121a476d6f8542f85641ca8a387e6b5a1a92b1be82c"",""3a889baeca044b12c0c72c340db86dbab773584d999b7bdb5a5ed4cf24dc98e3"",""62f18a96c532c157c9bf63f3104087e8094efdf1b897ad80c80fbbad1cf64c98""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	post_fresh	1	1784820036633480577	http://host_131215316a:19200/ready	4	8	"[""7b227f945b3d9c873d030e797798fb97d42a8055177fb47b187f0688e6712460"",""9562f7d322160caebfbaf0ff2c2c78a98d0c852064c9d265f98581938ce0f3cc"",""b476e250e4e236c86e3cad335488a0cd69c62d36cc02c4a2fe2e00789880d51b"",""b5e11a5c8c5341cb70b065baf68a4090e020e0e017b7e0490b1c135976e1099f""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	post_fresh	1	1784820036633480577	http://host_20da272088:19200/ready	4	8	"[""0010936e092d1076d2a0ef335962ae059f1f5322f89ebb97b99f4b86ed81e4c0"",""0d1079040eb42f0d778e81de6ba78504a84d53b876c741a209f70f1a4748d118"",""613ac43acfd998d8b87ac365da519bcc016f8cd7890ec50592d0c02413d6ec97"",""ddca7a6214f887583bd44e2b5f6b51db14ecd4ef7d58a7787373672ec484745b""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	post_fresh	1	1784820036633480577	http://host_08173e0b6a:19200/ready	4	8	"[""0b05f633c1806adb00403d1e101a06d90ecb2b272ab8036df24fc043ccca89aa"",""1dbce40b31050451bfd5c121a476d6f8542f85641ca8a387e6b5a1a92b1be82c"",""3a889baeca044b12c0c72c340db86dbab773584d999b7bdb5a5ed4cf24dc98e3"",""62f18a96c532c157c9bf63f3104087e8094efdf1b897ad80c80fbbad1cf64c98""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	post_measurement	1	1784820037679454130	http://host_131215316a:19200/ready	4	8	"[""7b227f945b3d9c873d030e797798fb97d42a8055177fb47b187f0688e6712460"",""9562f7d322160caebfbaf0ff2c2c78a98d0c852064c9d265f98581938ce0f3cc"",""b476e250e4e236c86e3cad335488a0cd69c62d36cc02c4a2fe2e00789880d51b"",""b5e11a5c8c5341cb70b065baf68a4090e020e0e017b7e0490b1c135976e1099f""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	post_measurement	1	1784820037679454130	http://host_20da272088:19200/ready	4	8	"[""0010936e092d1076d2a0ef335962ae059f1f5322f89ebb97b99f4b86ed81e4c0"",""0d1079040eb42f0d778e81de6ba78504a84d53b876c741a209f70f1a4748d118"",""613ac43acfd998d8b87ac365da519bcc016f8cd7890ec50592d0c02413d6ec97"",""ddca7a6214f887583bd44e2b5f6b51db14ecd4ef7d58a7787373672ec484745b""]"
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation	post_measurement	1	1784820037679454130	http://host_08173e0b6a:19200/ready	4	8	"[""0b05f633c1806adb00403d1e101a06d90ecb2b272ab8036df24fc043ccca89aa"",""1dbce40b31050451bfd5c121a476d6f8542f85641ca8a387e6b5a1a92b1be82c"",""3a889baeca044b12c0c72c340db86dbab773584d999b7bdb5a5ed4cf24dc98e3"",""62f18a96c532c157c9bf63f3104087e8094efdf1b897ad80c80fbbad1cf64c98""]"
262144	1	c2-reusable-360-request-level-direct-events_revision_rotation	revision_baseline	1	1784820037679920427	http://host_131215316a:19200/ready	4	8	"[""7b227f945b3d9c873d030e797798fb97d42a8055177fb47b187f0688e6712460"",""9562f7d322160caebfbaf0ff2c2c78a98d0c852064c9d265f98581938ce0f3cc"",""b476e250e4e236c86e3cad335488a0cd69c62d36cc02c4a2fe2e00789880d51b"",""b5e11a5c8c5341cb70b065baf68a4090e020e0e017b7e0490b1c135976e1099f""]"
