artifact_size_bytes	fresh_group	action_name	previous_action_revision	action_revision	request_start_unix_ns	fresh_request_end_unix_ns	request_end_unix_ns	baseline_binding_count	post_fresh_binding_count	post_measurement_binding_count	removed_container_identities_json	added_container_identities_json	status
65536	1	c2-reusable-360-request-level-direct-events_revision_rotation		0.0.1@1784820023567	1784820023955397368	1784820036628394026	1784820037675095155	12	12	12	[]	[]	request_group_complete_inventory_observed
262144	1	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.1@1784820023567	0.0.2@1784820038038	1784820038733389558	1784820039858772348	1784820041289160084	12	11	12	"[""b5e11a5c8c5341cb70b065baf68a4090e020e0e017b7e0490b1c135976e1099f""]"	"[""dc295b621ff77b07b192ba6739d176f19731c764378816520dcb72b619ad5280""]"	request_group_complete_inventory_observed
1048576	1	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.2@1784820038038	0.0.3@1784820041897	1784820042612721493	1784820044707711960	1784820045771878347	12	12	12	"[""0010936e092d1076d2a0ef335962ae059f1f5322f89ebb97b99f4b86ed81e4c0"",""b476e250e4e236c86e3cad335488a0cd69c62d36cc02c4a2fe2e00789880d51b""]"	"[""3947b9161c630a4911ffa21dc309d234041cc41ee6db4617c63da015bc281301"",""c9cee20618ae69aedde6324bd17969c7ff55627460e511df4dc150277618778c""]"	request_group_complete_inventory_observed
4194304	1	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.3@1784820041897	0.0.4@1784820046726	1784820048040327872	1784820050834048086	1784820052104361308	12	12	12	"[""0d1079040eb42f0d778e81de6ba78504a84d53b876c741a209f70f1a4748d118""]"	"[""cd60a6b9a2e8555483ddb66373b1948ba7d81f06e839f98200f53846ee9ca0df""]"	request_group_complete_inventory_observed
65536	2	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.4@1784820046726	0.0.5@1784820052439	1784820052544706614	1784820053244892202	1784820053979512886	12	11	12	"[""613ac43acfd998d8b87ac365da519bcc016f8cd7890ec50592d0c02413d6ec97""]"	"[""431b4a45fd6c5bbcd30195184fed181c2bca565570c847ce5fd0949b78be95d2""]"	request_group_complete_inventory_observed
262144	2	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.5@1784820052439	0.0.6@1784820054117	1784820054313808475	1784820055023753534	1784820055927266370	12	11	11	"[""7b227f945b3d9c873d030e797798fb97d42a8055177fb47b187f0688e6712460""]"	[]	request_group_complete_inventory_observed
1048576	2	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.6@1784820054117	0.0.7@1784820056156	1784820056525286800	1784820058208350577	1784820059520435699	11	10	10	"[""c9cee20618ae69aedde6324bd17969c7ff55627460e511df4dc150277618778c"",""ddca7a6214f887583bd44e2b5f6b51db14ecd4ef7d58a7787373672ec484745b""]"	"[""931d5d0ee8b92c41e1c4172115c8e20bd34dff4eeb65fefa258a19c43d601501""]"	request_group_complete_inventory_observed
4194304	2	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.7@1784820056156	0.0.8@1784820060094	1784820061398289133	1784820065426326777	1784820067499741420	10	12	13	"[""cd60a6b9a2e8555483ddb66373b1948ba7d81f06e839f98200f53846ee9ca0df""]"	"[""25553a67bb43a2e397c9921b359943c0831002491c104fadd019a8284ceb68f6"",""6c91d864f1abd95f94bb4124a1c10e962c7b81a9c884e2a2ec5e300c46b3b087"",""ce49b7831b49f2e8f31613e96cade0afcdc8a381794bb2536c45cef79f7bfa6a"",""d0db9eebc0f350793aa29f7bf43779bb18774232065e2f34b38b97bdc255564b""]"	request_group_complete_inventory_observed
65536	3	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.8@1784820060094	0.0.9@1784820067940	1784820068127962980	1784820068551336318	1784820070311254951	13	13	12	"[""1dbce40b31050451bfd5c121a476d6f8542f85641ca8a387e6b5a1a92b1be82c"",""431b4a45fd6c5bbcd30195184fed181c2bca565570c847ce5fd0949b78be95d2""]"	"[""6448ac0564b3030d5199b68550f9d45d25fa722a9a049a975796a047dd626200""]"	request_group_complete_inventory_observed
262144	3	c2-reusable-360-request-level-direct-events_revision_rotation	0.0.9@1784820067940	0.0.10@1784820070419	1784820070735343813	1784820071310456730	1784820072818373665	12	11	11	"[""6c91d864f1abd95f94bb4124a1c10e962c7b81a9c884e2a2ec5e300c46b3b087""]"	[]	request_group_complete_inventory_observed
