source_round	source_collection	profile	phase	artifact_size_bytes	fresh_group	lifecycle	logical_request_id	request_rid	action_revision	measurement_sequence	activation_attempt	activation_id	client_start_unix_ns	client_end_unix_ns	client_elapsed_ms	blocking_http_status	activation_get_http_status	platform_duration_ms	platform_start_ms	platform_end_ms	terminal_success	outcome	retry_disposition	measurement_role	failure_summary	aggregate_selection_status
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_fresh	16777216	1	fresh_first_use	s16777216-g001-fresh	64a6a5f8dd7868b37046aca436220a746ca71d0855b712fb5850415f98249c9f	0.0.1@1785077326622	1	1	c7302ff5e84848d2b02ff5e848e8d25c	1785077330222109410	1785077340209236949	9987.127907	500	200	0	1785077339658	1785077339658	false	queue_endpoint_prediction_race	retry_once	excluded_prediction_race	The activation has not been processed: failed to get the queue endpoint.	selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_fresh	16777216	1	fresh_first_use	s16777216-g001-fresh	64a6a5f8dd7868b37046aca436220a746ca71d0855b712fb5850415f98249c9f	0.0.1@1785077326622	1	2	f2fa68ec0f0b4fb3ba68ec0f0b0fb324	1785077340561336363	1785077352338570687	11777.234275	200	200	1068	1785077351147	1785077352215	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	1	warm_followup	s16777216-g001-warm1	fdc045162fcfa58af3429f565a78a87098aa3684d45c90e1afe93f139407b2d9	0.0.1@1785077326622	2	1	1cfc22a273374808bc22a27337180803	1785077352405231292	1785077352576039392	170.808066	200	200	84	1785077352478	1785077352562	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	1	warm_followup	s16777216-g001-warm2	4aecacdc2ef1af6bcb7970278b43639a0ac95579911c0a511e1ba2be1e5c9b7c	0.0.1@1785077326622	3	1	993c12474fa14625bc12474fa1162580	1785077352629892717	1785077352782715684	152.823453	200	200	84	1785077352685	1785077352769	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	1	warm_followup	s16777216-g001-warm3	57927943feb576ea63de81f6d8b2cfeeb8f68b8c940b59df90ab8dc2b77f8768	0.0.1@1785077326622	4	1	8a4fdeaf09a04bc58fdeaf09a0dbc5cb	1785077353086079408	1785077353221513704	135.434277	200	200	91	1785077353118	1785077353209	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	1	warm_followup	s16777216-g001-warm4	b7661444af654068aa4fd6299ccca68d78e7290f9e2fdd431c475b676aa16431	0.0.1@1785077326622	5	1	2ae8423368654e6da842336865de6dd4	1785077353537420024	1785077353671234305	133.813821	200	200	90	1785077353569	1785077353659	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	1	warm_followup	s16777216-g001-warm5	69a402e340309f531e8361b75fb227b10ba060fe6ddd7d0b88ca4f44146bf30f	0.0.1@1785077326622	6	1	8dcbc6b2a26544528bc6b2a265e452b3	1785077353709703731	1785077353837913942	128.210201	200	200	87	1785077353738	1785077353825	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_fresh	16777216	2	fresh_first_use	s16777216-g002-fresh	6d2233a92b66f2b83f9f09b21b896aeb2c0d856d648cf389eff564caf627885c	0.0.2@1785077355282	7	1	855ecc36c79a40279ecc36c79a702763	1785077358525367809	1785077367361659162	8836.291288	200	200	1050	1785077366178	1785077367228	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	2	warm_followup	s16777216-g002-warm1	022cc3debc2a18953777c7cc3079249266d2b34176a32315b166808bb22c7ce3	0.0.2@1785077355282	8	1	29b09cf8ccdd4fb6b09cf8ccddcfb6a2	1785077367706833912	1785077367844023168	137.189375	200	200	95	1785077367739	1785077367834	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	2	warm_followup	s16777216-g002-warm2	bfb75a02a0893b39a33719365beb1cce4b8e83e2811f52d36b58f37490179dbb	0.0.2@1785077355282	9	1	b907cd20af2f454f87cd20af2fd54f52	1785077368142708119	1785077368278912647	136.204768	200	200	97	1785077368170	1785077368267	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	2	warm_followup	s16777216-g002-warm3	00bd0f98bb2dbce22f4d2f7e3bc162312900bf9726ed3886ac232962965e2fbd	0.0.2@1785077355282	10	1	807d6d5b33634217bd6d5b33631217b4	1785077368564605605	1785077368696445513	131.839840	200	200	88	1785077368592	1785077368680	true	execution_path_accepted	not_applicable	measured_logical_request		selected
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	revision_rotation_warm	16777216	2	warm_followup	s16777216-g002-warm4	572b0c2d515d8ccea1100f1ed8579e0221a7c3eabce34e6e9d32cdaf527e8697	0.0.2@1785077355282	11	1	edf7e46c009f4a53b7e46c009f9a5320	1785077368984757028	1785077369115449896	130.692813	200	200	90	1785077369016	1785077369106	true	execution_path_accepted	not_applicable	measured_logical_request		selected
