schema_version	profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	measurement_sequence	terminal_success	store_evidence_status	rid_status	decrypt_status	workload_status	payload_evidence_status	analysis_eligible	quality_reason	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit	cfunc_decrypt_executed	fresh_placement_eligible	warm_reuse_eligible	client_start_unix_ns	client_end_unix_ns	first_result_latency_ms	activation_duration_ms	upload_elapsed_ms	artifact_size_observed_bytes	c_func_bytes	action_zip_bytes	action_fetch_duration_ns	action_fetch_status	runtime_init_duration_ns	runtime_init_status	function_key_decap_duration_ns	cfunc_aes_gcm_duration_ns	wasm_load_duration_ns	wasm_instantiate_duration_ns	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns	outer_execution_duration_ns	tsc_hz	tsc_frequency_method	phase_evidence_status	target_binding_id	scheduler_operation	scheduler_warmed	gateway_code_status	gateway_input_status	gateway_result_count	raw_wasm_sha256	code_envelope_bytes	code_envelope_payload_length	gateway_code_queue_wait_ns	gateway_code_service_ns	target_code_decrypt_duration_cycles	target_code_decrypt_status
c2-reusable-attempt-v1	reusable-concurrency	16777216	10	fresh_first_use	0	s16777216-g010-fresh	26599920922144ac999920922124ac2b	/guest/c2-reusable-16m-r379-g010-g011	0.0.1@1785106816794	dc3b97bea58901e14b32424f3dd691a46b67818cbf444d57ec98ce2b09b4e2d6	1	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:120						true	false	1785106821854393907	1785106840164878120	18310.484213	999	8065.752124	16777216				unavailable_no_direct_event		unavailable_no_direct_event							50248764			51573663			partial_with_explicit_unavailable	120	CODE_INPUT	false	present	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	30012	65164340	117371365	direct_event_complete
c2-reusable-attempt-v1	reusable-concurrency	16777216	10	warm_followup	1	s16777216-g010-warm1	ee95e1984c584d4a95e1984c58dd4abe	/guest/c2-reusable-16m-r379-g010-g011	0.0.1@1785106816794	dc3b97bea58901e14b32424f3dd691a46b67818cbf444d57ec98ce2b09b4e2d6	2	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:120						false	true	1785106840236184222	1785106840374832238	138.648016	75	8065.752124	16777216				unavailable_no_direct_event		unavailable_no_direct_event							51228519			52452141			partial_with_explicit_unavailable	120	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	10	warm_followup	2	s16777216-g010-warm2	13875b26b8c045ee875b26b8c015eefa	/guest/c2-reusable-16m-r379-g010-g011	0.0.1@1785106816794	dc3b97bea58901e14b32424f3dd691a46b67818cbf444d57ec98ce2b09b4e2d6	3	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:120						false	true	1785106840421651297	1785106840633003294	211.351997	113	8065.752124	16777216				unavailable_no_direct_event		unavailable_no_direct_event							56928075			59092248			partial_with_explicit_unavailable	120	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	10	warm_followup	3	s16777216-g010-warm3	b6436c1a20f44e00836c1a20f4ae0084	/guest/c2-reusable-16m-r379-g010-g011	0.0.1@1785106816794	dc3b97bea58901e14b32424f3dd691a46b67818cbf444d57ec98ce2b09b4e2d6	4	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:120						false	true	1785106840658206966	1785106840838339738	180.132772	87	8065.752124	16777216				unavailable_no_direct_event		unavailable_no_direct_event							52287452			54929786			partial_with_explicit_unavailable	120	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	10	warm_followup	4	s16777216-g010-warm4	d18ae1a22ee949738ae1a22ee9a97322	/guest/c2-reusable-16m-r379-g010-g011	0.0.1@1785106816794	dc3b97bea58901e14b32424f3dd691a46b67818cbf444d57ec98ce2b09b4e2d6	5	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:120						false	true	1785106840872871127	1785106841010650381	137.779254	96	8065.752124	16777216				unavailable_no_direct_event		unavailable_no_direct_event							50820929			52326632			partial_with_explicit_unavailable	120	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	10	warm_followup	5	s16777216-g010-warm5	c9c6aad45ab9471186aad45ab997112e	/guest/c2-reusable-16m-r379-g010-g011	0.0.1@1785106816794	dc3b97bea58901e14b32424f3dd691a46b67818cbf444d57ec98ce2b09b4e2d6	6	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:120						false	true	1785106841038907670	1785106841201360102	162.452432	78	8065.752124	16777216				unavailable_no_direct_event		unavailable_no_direct_event							51174673			51603231			partial_with_explicit_unavailable	120	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	11	fresh_first_use	0	s16777216-g011-fresh	343235032c914949b235032c91794954	/guest/c2-reusable-16m-r379-g010-g011	0.0.2@1785106842531	3c91793019e6ac0cc746b6c8acc6ff5cd88576d32ca897ff2b0b46604d43f5fd	7	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:179						true	false	1785106845705297433	1785106853361094424	7655.796991	996	3553.357860	16777216				unavailable_no_direct_event		unavailable_no_direct_event							52147298			52509828			partial_with_explicit_unavailable	179	CODE_INPUT	false	present	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	12824	60841603	134184954	direct_event_complete
c2-reusable-attempt-v1	reusable-concurrency	16777216	11	warm_followup	1	s16777216-g011-warm1	49d76a939619468e976a939619968e9e	/guest/c2-reusable-16m-r379-g010-g011	0.0.2@1785106842531	3c91793019e6ac0cc746b6c8acc6ff5cd88576d32ca897ff2b0b46604d43f5fd	8	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:179						false	true	1785106853672979334	1785106853834192199	161.212865	82	3553.357860	16777216				unavailable_no_direct_event		unavailable_no_direct_event							50118975			51642906			partial_with_explicit_unavailable	179	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	11	warm_followup	2	s16777216-g011-warm2	5ac7c420bdc34f2287c420bdc30f2284	/guest/c2-reusable-16m-r379-g010-g011	0.0.2@1785106842531	3c91793019e6ac0cc746b6c8acc6ff5cd88576d32ca897ff2b0b46604d43f5fd	9	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:179						false	true	1785106853854483610	1785106854013839839	159.356229	115	3553.357860	16777216				unavailable_no_direct_event		unavailable_no_direct_event							51080510			51524805			partial_with_explicit_unavailable	179	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
c2-reusable-attempt-v1	reusable-concurrency	16777216	11	warm_followup	3	s16777216-g011-warm3	2757f8414277431e97f8414277731e0b	/guest/c2-reusable-16m-r379-g010-g011	0.0.2@1785106842531	3c91793019e6ac0cc746b6c8acc6ff5cd88576d32ca897ff2b0b46604d43f5fd	10	true	present	match	ok	match	prepared_and_gateway_input_present	true	ok	target-binding:179						false	true	1785106854046239287	1785106854187831621	141.592334	93	3553.357860	16777216				unavailable_no_direct_event		unavailable_no_direct_event							52787167			53231277			partial_with_explicit_unavailable	179	INPUT	true	not_expected	present	0	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216				not_expected_warm
