profile	phase	artifact_size_bytes	fresh_group	lifecycle	logical_request_id	request_rid	action_revision	measurement_sequence	activation_attempt	activation_id	client_start_unix_ns	client_end_unix_ns	client_elapsed_ms	blocking_http_status	activation_get_http_status	platform_duration_ms	platform_start_ms	platform_end_ms	terminal_success	outcome	retry_disposition	measurement_role	failure_summary
reusable-concurrency	revision_rotation_fresh	16777216	12	fresh_first_use	s16777216-g012-fresh	8c87fc1c8bf9ef45cce08e9d4ba41de93f9a822ba4c48c44f59cb0c85846d4e2	0.0.1@1785111401381	1	1	87ce8b7ac261480e8e8b7ac261380e36	1785111405744226663	1785111415461010013	9716.783822	500	200	0	1785111415201	1785111415201	false	queue_endpoint_prediction_race	retry_once	excluded_prediction_race	The activation has not been processed: failed to get the queue endpoint.
reusable-concurrency	revision_rotation_fresh	16777216	12	fresh_first_use	s16777216-g012-fresh	8c87fc1c8bf9ef45cce08e9d4ba41de93f9a822ba4c48c44f59cb0c85846d4e2	0.0.1@1785111401381	1	2	72ac6d3955fd49a7ac6d3955fdf9a7f4	1785111415811688138	1785111424630194761	8818.506784	200	200	998	1785111423545	1785111424543	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	12	warm_followup	s16777216-g012-warm1	f6f4d2138a789af2886da032b10cff19c482905f5953b1309b0da6e5a9169559	0.0.1@1785111401381	2	1	3a2ab3e3b7134536aab3e3b713c53677	1785111424710146826	1785111424843866752	133.719754	200	200	74	1785111424757	1785111424831	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	12	warm_followup	s16777216-g012-warm2	7b79448d176fa73b13cddfaa50ea97c22dedd240f959cc506421157b199c67b4	0.0.1@1785111401381	3	1	9e3c9ae761184691bc9ae76118869162	1785111424886922420	1785111425030979863	144.057223	200	200	99	1785111424919	1785111425018	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	12	warm_followup	s16777216-g012-warm3	71ffc10fb99172dfeafdbe3d08cfd998dfe210beb5bb1ab852c6aab23c57fee8	0.0.1@1785111401381	4	1	f65b8c48b72a44d09b8c48b72a14d07b	1785111425073199073	1785111425195270108	122.071046	200	200	85	1785111425101	1785111425186	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	12	warm_followup	s16777216-g012-warm4	fb18ddedaf9352a839b8d386db0e1296fd267dc3167e10ea551d0540b3824056	0.0.1@1785111401381	5	1	9f73ba057eaf44eeb3ba057eaf24ee53	1785111425235873748	1785111425423030521	187.156562	200	200	138	1785111425262	1785111425400	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	12	warm_followup	s16777216-g012-warm5	3822d9b73f690680d74fbf53e5435d7ad5793483bc8084177679c470d4af924d	0.0.1@1785111401381	6	1	1c6a24c545a843c4aa24c545a843c4d2	1785111425443867831	1785111425597248086	153.379933	200	200	102	1785111425487	1785111425589	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_fresh	16777216	13	fresh_first_use	s16777216-g013-fresh	640b8b3118e27cdb41eeaf8381b094dd7c5f17f8afb319dd5b3e48d781dd373a	0.0.2@1785111427800	7	1	d299bd211882468e99bd211882568ef5	1785111431084864211	1785111440296386628	9211.522451	200	200	936	1785111439263	1785111440199	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	13	warm_followup	s16777216-g013-warm1	72d8c85040943f4e14b0fdd61401bde055358dd8102543c6ec6920623b2de1c2	0.0.2@1785111427800	8	1	fe9ef41bdf8843849ef41bdf880384f2	1785111440343041560	1785111440475982756	132.940950	200	200	85	1785111440375	1785111440460	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	13	warm_followup	s16777216-g013-warm2	bd0117a19d3b2fccab7ac02ece087d990008616673ac2065c5c546cf25552883	0.0.2@1785111427800	9	1	abec90eafb474d0bac90eafb477d0b22	1785111440507035956	1785111440648042216	141.005530	200	200	89	1785111440547	1785111440636	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	13	warm_followup	s16777216-g013-warm3	2f04015026b66be1a1b1bd592388eb9d680cfe9e5f1de65c5a08b804ae09ef40	0.0.2@1785111427800	10	1	63a85fa6d71047ffa85fa6d710e7ff81	1785111440675446000	1785111440811563510	136.117918	200	200	96	1785111440702	1785111440798	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	13	warm_followup	s16777216-g013-warm4	2de143cd1c313fc2689f1be75735bd0487d7a39debc7178ef7ed36f534bcb960	0.0.2@1785111427800	11	1	be6420e67c1f4443a420e67c1fb44371	1785111440842596365	1785111440978940627	136.343993	200	200	90	1785111440880	1785111440970	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	13	warm_followup	s16777216-g013-warm5	f073c09722c065cf6a8e4b0edba78e0eec158773b5058aabe0e74a8946c15a7c	0.0.2@1785111427800	12	1	4bb2257b21e64474b2257b21e68474fd	1785111441013652532	1785111441145840440	132.187527	200	200	78	1785111441052	1785111441130	true	execution_path_accepted	not_applicable	measured_logical_request	
