schema_version	main_authority	source_round	source_collection	fresh_group	event_name	load_ms	instantiate_ms	worker_total_ms	coverage_status	source_archive_path	source_archive_bytes	source_archive_sha256	source_private_manifest_path	source_private_manifest_sha256	source_object_ordinal	source_log_field	source_log_ordinal	selector_provenance
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	374	374_c2-reusable-concurrency-16m-child-g001-g004	1	REUSABLE_TRACE_EXECUTOR_RUN	47.062844	0.181303	47.244147	direct_event_complete	<protected-source>	168429	d5f7a399ed9298d7061e8f779b4efc2c67f339479187ab11206fab0dc5143748	experiments/collections/374_c2-reusable-concurrency-16m-child-g001-g004/PRIVATE-ARCHIVE-MANIFEST.tsv	93e3b90b2e84ed3a3aa26c270c61b25efb301a80234bddc38fe2b91c0c7accad	1	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	374	374_c2-reusable-concurrency-16m-child-g001-g004	2	REUSABLE_TRACE_EXECUTOR_RUN	33.685695	0.169021	33.854716	direct_event_complete	<protected-source>	168429	d5f7a399ed9298d7061e8f779b4efc2c67f339479187ab11206fab0dc5143748	experiments/collections/374_c2-reusable-concurrency-16m-child-g001-g004/PRIVATE-ARCHIVE-MANIFEST.tsv	93e3b90b2e84ed3a3aa26c270c61b25efb301a80234bddc38fe2b91c0c7accad	7	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	375	375_c2-reusable-concurrency-16m-child-g003-g003	3	REUSABLE_TRACE_EXECUTOR_RUN	51.893163	0.189406	52.082569	direct_event_complete	<protected-source>	76605	d527424a69e56014583d739f846fa4de26f0ab2fccaa8b514254b507ffe994e9	experiments/collections/375_c2-reusable-concurrency-16m-child-g003-g003/PRIVATE-ARCHIVE-MANIFEST.tsv	ee036033a352f10bd6674c9ad6aadfee0c2a1359121e2f383693e401f4acccb6	1	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	376	376_c2-reusable-concurrency-16m-child-g004-g005	4	REUSABLE_TRACE_EXECUTOR_RUN	46.435460	0.182762	46.618222	direct_event_complete	<protected-source>	153193	7846ec78910b8e69221539a9580e044bafca297ea7865637c8ac7a9ba80764e8	experiments/collections/376_c2-reusable-concurrency-16m-child-g004-g005/PRIVATE-ARCHIVE-MANIFEST.tsv	398f7c68d028f92e9aa523d4b58729a6b27967744c5808f607a5ed40fc7f3d2f	1	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	376	376_c2-reusable-concurrency-16m-child-g004-g005	5	REUSABLE_TRACE_EXECUTOR_RUN	30.491526	0.156718	30.648244	direct_event_complete	<protected-source>	153193	7846ec78910b8e69221539a9580e044bafca297ea7865637c8ac7a9ba80764e8	experiments/collections/376_c2-reusable-concurrency-16m-child-g004-g005/PRIVATE-ARCHIVE-MANIFEST.tsv	398f7c68d028f92e9aa523d4b58729a6b27967744c5808f607a5ed40fc7f3d2f	7	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	377	377_c2-reusable-concurrency-16m-child-g006-g007	6	REUSABLE_TRACE_EXECUTOR_RUN	21.583447	0.173857	21.757304	direct_event_complete	<protected-source>	153468	7ce5bbe987c2cac8e9e6db60fd18f6b7c21d8862c68a35e0a50512f23d8437ab	experiments/collections/377_c2-reusable-concurrency-16m-child-g006-g007/PRIVATE-ARCHIVE-MANIFEST.tsv	7b52f519e37679dac594a7ac690eebded2cc0c54053a84ee2e558e2550330a39	1	activation_get.logs	72	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	377	377_c2-reusable-concurrency-16m-child-g006-g007	7	REUSABLE_TRACE_EXECUTOR_RUN	28.908259	0.167709	29.075968	direct_event_complete	<protected-source>	153468	7ce5bbe987c2cac8e9e6db60fd18f6b7c21d8862c68a35e0a50512f23d8437ab	experiments/collections/377_c2-reusable-concurrency-16m-child-g006-g007/PRIVATE-ARCHIVE-MANIFEST.tsv	7b52f519e37679dac594a7ac690eebded2cc0c54053a84ee2e558e2550330a39	7	activation_get.logs	72	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	378	378_c2-reusable-concurrency-16m-child-g008-g009	8	REUSABLE_TRACE_EXECUTOR_RUN	53.928854	0.173976	54.102830	direct_event_complete	<protected-source>	153198	7f868a66964dc160e9d4818ff11f9440f202b3280d945380bdcfc92f18b11f8e	experiments/collections/378_c2-reusable-concurrency-16m-child-g008-g009/PRIVATE-ARCHIVE-MANIFEST.tsv	25d3b6c060fdcf57529d4ef2aed426d008b853bf35057a604e78ceb232b7ea34	1	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	378	378_c2-reusable-concurrency-16m-child-g008-g009	9	REUSABLE_TRACE_EXECUTOR_RUN	58.184611	0.161864	58.346475	direct_event_complete	<protected-source>	153198	7f868a66964dc160e9d4818ff11f9440f202b3280d945380bdcfc92f18b11f8e	experiments/collections/378_c2-reusable-concurrency-16m-child-g008-g009/PRIVATE-ARCHIVE-MANIFEST.tsv	25d3b6c060fdcf57529d4ef2aed426d008b853bf35057a604e78ceb232b7ea34	7	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
reusable-c2-16m-worker-stage-v1	a1c2aca7d825b70dca3f47cffaee334cb58fc451	379	379_c2-reusable-concurrency-16m-child-g010-g011	10	REUSABLE_TRACE_EXECUTOR_RUN	51.840787	2.624386	54.465173	direct_event_complete	<protected-source>	153214	1bb74e6bc3e4aaebe61866dc87779b55b1b1234e1eabde72183c4f34427979b7	experiments/collections/379_c2-reusable-concurrency-16m-child-g010-g011/PRIVATE-ARCHIVE-MANIFEST.tsv	a7e060f7a2560af59adfb3a032118966fc4f88419e670c080449a9deaab42185	1	activation_get.logs	70	accepted_group_map+fresh_first_use+internal_activation_join+activation_get.logs:REUSABLE_TRACE_EXECUTOR_RUN
