source_family	event_code	observed_rows	observed_activation_count	selected_activation_count	required_activation_count	status	occurrence_policy
client	C010	700	700	700	700	complete	exactly_one_per_activation
client	C800	700	700	700	700	complete	exactly_one_per_activation
client	C900	700	700	700	700	complete	exactly_one_per_activation
openwhisk	OW120	700	700	700	700	complete	exactly_one_per_activation
openwhisk	OW150	700	700	700	700	complete	exactly_one_per_activation
openwhisk	OW260	700	700	700	700	complete	exactly_one_per_activation
openwhisk	OW300	1399	700	700	700	complete_with_dispatch_duplicates	preserve_all_rows_select_latest_not_after_OW310
openwhisk	OW310	700	700	700	700	complete	exactly_one_selected_per_activation
openwhisk	OW800	700	700	700	700	complete	exactly_one_per_activation
store	DB500	700	700	700	700	complete	exactly_one_per_activation
store	DB510	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AI400	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AI410	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AI420	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AI430	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AF400	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AF410	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AO400	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AO410	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AO420	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	AO430	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	A400	700	700	700	700	complete	exactly_one_per_activation
asyncs_profile	A410	700	700	700	700	complete	exactly_one_per_activation
