profile	phase	size_bytes	schedule_cycle	ordinal	logical_request_id	attempt_id	activation_id	terminal_success	full_output_verified	verification_status	application_input_bytes	application_input_sha256	application_output_bytes	application_output_sha256	expected_rid	actual_rid	rid_status	decrypt_status	c_req_bytes	c_key_bytes	c_out_bytes	ct_bytes	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit	warm_eligible	warm_reason	payload_evidence_status	direct_timing_status	input_key_decap_cycles	input_aes_gcm_cycles	workload_core_cycles	output_kem_cycles	output_aes_gcm_cycles	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns
asyncs	measured	1024	1	1	1	1	e6c92890f6d14415892890f6d1441527	true	true	ok	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	5da780791b69ba5f86379c52bd45f77908035a459e95f23eb59de9da01391ded	5da780791b69ba5f86379c52bd45f77908035a459e95f23eb59de9da01391ded	match	ok	1052	271	1052	65	af251b89e0df	false	true	false	false	false	kms_not_contacted,key_cache_hit,function_cache_hit	match	complete	15336395	4547	102540	1080257	9009	5680290	1684	37978	400105	3336
asyncs	measured	4096	1	2	2	1	938b4e3478da44c98b4e3478da94c994	true	true	ok	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	7138d3457cdfaecdce0061d9d4548972a29e17e01b8fbc3cdbfe92a0dec19447	7138d3457cdfaecdce0061d9d4548972a29e17e01b8fbc3cdbfe92a0dec19447	match	ok	4124	271	4124	65	af251b89e0df	false	false	true	true	true	warm	match	complete	13348129	9897	463192	1207955	13960	4943877	3665	171556	447402	5170
asyncs	measured	16384	1	3	3	1	5170b84249444863b0b8424944286361	true	true	ok	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	549f6f096b8f20f60dcf06ab70ce03dc3d771ad4592defa0e38162fad5db17d3	549f6f096b8f20f60dcf06ab70ce03dc3d771ad4592defa0e38162fad5db17d3	match	ok	16412	271	16412	65	af251b89e0df	false	false	true	true	true	warm	match	complete	11811796	30818	1681918	1158371	33104	4374850	11414	622948	429037	12261
asyncs	measured	65536	1	4	4	1	b989afe84e7943d689afe84e79c3d677	true	true	ok	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	5eb4e3773dcba498c27ee805dd5ddcd1388905ffb2461c45b3eba61594106b07	5eb4e3773dcba498c27ee805dd5ddcd1388905ffb2461c45b3eba61594106b07	match	ok	65564	271	65564	65	af251b89e0df	false	false	true	true	true	warm	match	complete	6224445	65446	5807008	578869	78507	2305408	24239	2150798	214401	29077
asyncs	measured	262144	1	5	5	1	308291f3804d41048291f3804df1043d	true	true	ok	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	c58799c7f1c845aa62d7114af7c1f8d32155cc343dc721fee94cbaaf9bd83a80	c58799c7f1c845aa62d7114af7c1f8d32155cc343dc721fee94cbaaf9bd83a80	match	ok	262172	271	262172	65	af251b89e0df	false	false	true	true	true	warm	match	complete	13437000	446722	23708945	608046	304024	4976793	165456	8781313	225207	112604
asyncs	measured	1048576	1	6	6	1	60a1447e10b24ee3a1447e10b23ee306	true	true	ok	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	9d1282cde62012264087e647e543eed8fb425d67f02bdbff8382673a40829d19	9d1282cde62012264087e647e543eed8fb425d67f02bdbff8382673a40829d19	match	ok	1048604	271	1048604	65	af251b89e0df	false	false	true	true	true	warm	match	complete	6320651	1140335	96215844	600592	1177601	2341041	422357	35636402	222447	436159
asyncs	measured	4194304	1	7	7	1	ee40ec265c2d43c280ec265c2d23c2be	true	true	ok	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	c6414de06dee7576c64993072dd3846de81562da84adab070b518cdac7d226f3	c6414de06dee7576c64993072dd3846de81562da84adab070b518cdac7d226f3	match	ok	4194332	271	4194332	65	af251b89e0df	false	false	true	true	true	warm	match	complete	6101647	4324817	374394454	571985	4838000	2259926	1601824	138668133	211851	1791897
asyncs	measured	1024	2	8	8	1	e4d817511bec418d9817511bec318d1e	true	true	ok	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	eb114b7869fd8d64d9abbbcdcef4aa45a2cc1ccd7e58383867410ceaa80ab13e	eb114b7869fd8d64d9abbbcdcef4aa45a2cc1ccd7e58383867410ceaa80ab13e	match	ok	1052	271	1052	65	af251b89e0df	false	false	true	true	true	warm	match	complete	6208975	5182	97210	572391	6988	2299678	1919	36004	212002	2588
asyncs	measured	4096	2	9	9	1	be9d9ccccd7c48549d9ccccd7c385441	true	true	ok	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	627a760c3c24606c5ae5cbea81698cbca1f9e678cf00152b8a276d6b98438f2e	627a760c3c24606c5ae5cbea81698cbca1f9e678cf00152b8a276d6b98438f2e	match	ok	4124	271	4124	65	af251b89e0df	false	false	true	true	true	warm	match	complete	7376815	7032	362365	567731	9780	2732223	2604	134212	210276	3622
asyncs	measured	16384	2	10	10	1	0bc97c0dd5df4040897c0dd5df804050	true	true	ok	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	f037ec80e7a2cb521dc2534e9d59448281408f5f9b0571b2915e212f1d74a225	f037ec80e7a2cb521dc2534e9d59448281408f5f9b0571b2915e212f1d74a225	match	ok	16412	271	16412	65	af251b89e0df	false	false	true	true	true	warm	match	complete	6177932	17956	1501621	578292	22077	2288181	6650	556170	214187	8176
