schema_version	profile	phase	size_bytes	schedule_cycle	ordinal	logical_request_id	attempt_id	activation_id	terminal_success	full_output_verified	activation_get_result_match	store_status	warm_eligible	analysis_selected	exclusion_reason	client_start_unix_ns	client_end_unix_ns	activation_get_unix_ns	db_start_unix_ns	db_finish_unix_ns	total_latency_ns	client_to_db_enter_ns	couchdb_save_ns	http_request_bytes	http_response_bytes	activation_get_response_bytes	application_input_bytes	application_input_sha256	application_output_bytes	application_output_sha256	profile_input_duration_ns	profile_workload_duration_ns	profile_output_duration_ns	profile_outer_duration_ns	shared_event_status	profile_timing_status	openwhisk_event_status	quality_complete	profile_event_codes	openwhisk_event_codes	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit
e3-v2-native-attempt-v1	native	measured	1024	1	1	1	1	b705279cb63944c485279cb639f4c434	true	true	true	put_acknowledged	false	false	warm_ineligible	1784920702780166487	1784920704092080990	1784920704110657657	1784920704068999936	1784920704104999936	1324833449	1288833449	36000000	1771	2172	2172	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301		251816		251816	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	4096	1	2	2	1	87efba291d0e42b9afba291d0e52b9ae	true	true	true	put_acknowledged	true	true		1784920704112635982	1784920704153892104	1784920704169074172	1784920704142999808	1784920704160999936	48363954	30363826	18000128	4843	5210	5210	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b		132668		132668	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	16384	1	3	3	1	f6701684595b48b8b01684595bd8b81c	true	true	true	put_acknowledged	true	true		1784920704171411690	1784920704217401681	1784920704229452484	1784920704206000128	1784920704214999808	43588118	34588438	8999680	17132	17500	17500	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db		41625		41625	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	65536	1	4	4	1	68bb6097e1354b77bb6097e1353b7729	true	true	true	put_acknowledged	true	true		1784920704232343708	1784920704292336967	1784920704306145852	1784920704276999936	1784920704287000064	54656356	44656228	10000128	66284	66654	66654	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83		120634		120634	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	262144	1	5	5	1	85829b4eb41f4678829b4eb41f767855	true	true	true	put_acknowledged	true	true		1784920704311457662	1784920704449291401	1784920704486156574	1784920704394000128	1784920704411000064	99542402	82542466	16999936	262893	263265	263265	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb		516554		516554	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	1048576	1	6	6	1	51ad796769a94234ad796769a95234ae	true	true	true	put_acknowledged	true	true		1784920704497715110	1784920704752388056	1784920704819794624	1784920704676999936	1784920704710000128	212285018	179284826	33000192	1049326	1049702	1049702	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4		1772537		1772537	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	4194304	1	7	7	1	c1b58edf8c1a4672b58edf8c1af6727d	true	true	true	put_acknowledged	true	true		1784920704860064078	1784920705474382868	1784920705643184584	1784920705282000128	1784920705396000000	535935922	421936050	113999872	4195054	4195430	4195430	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047		6962876		6962876	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	1024	2	8	8	1	145f11bcd88c4ca39f11bcd88cdca307	true	true	true	put_acknowledged	true	true		1784920705698971614	1784920705735173987	1784920705959957670	1784920705730000128	1784920705748000000	49028386	31028514	17999872	1771	2137	2137	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301		40312		40312	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	4096	2	9	9	1	4267fefeef6544d7a7fefeef6534d757	true	true	true	put_acknowledged	true	true		1784920705964734096	1784920705996984299	1784920706021041985	1784920705987000064	1784920706013999872	49265776	22265968	26999808	4843	5209	5209	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b		47519		47519	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	16384	2	10	10	1	f9e5435591cf473da5435591cf473d4e	true	true	true	put_acknowledged	true	true		1784920706023264154	1784920706060112972	1784920706081771850	1784920706044000000	1784920706059000064	35735910	20735846	15000064	17134	17502	17502	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db		29969		29969	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	65536	2	11	11	1	d930ec8f3c914155b0ec8f3c916155f7	true	true	true	put_acknowledged	true	true		1784920706084925049	1784920706125399454	1784920706148059369	1784920706107000064	1784920706120000000	35074951	22075015	12999936	66286	66654	66654	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83		48989		48989	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	262144	2	12	12	1	008c84497fb349a98c84497fb359a9f3	true	true	true	put_acknowledged	true	true		1784920706153508351	1784920706279057145	1784920706330646089	1784920706246000128	1784920706255000064	101491713	92491777	8999936	262895	263267	263267	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb		325244		325244	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	1048576	2	13	13	1	bb9ddb59855549349ddb59855539346f	true	true	true	put_acknowledged	true	true		1784920706344065736	1784920706521399067	1784920706588130858	1784920706460000000	1784920706497999872	153934136	115934264	37999872	1049328	1049703	1049703	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4		1323602		1323602	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	4194304	2	14	14	1	9fca2625a5cd46a98a2625a5cdb6a91a	true	true	true	put_acknowledged	true	true		1784920706633862181	1784920707125085550	1784920707294140204	1784920706969000192	1784920707058000128	424137947	335138011	88999936	4195056	4195432	4195432	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047		6895135		6895135	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	1024	3	15	15	1	16f1325756b2417eb1325756b2d17e96	true	true	true	put_acknowledged	true	true		1784920707345955313	1784920707389269961	1784920707400838036	1784920707368999936	1784920707387000064	41044751	23044623	18000128	1773	2139	2139	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301		53645		53645	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	4096	3	16	16	1	bc2df24319974ecbadf2431997becbd5	true	true	true	put_acknowledged	true	true		1784920707404773114	1784920707442307280	1784920707457786963	1784920707428000000	1784920707437999872	33226758	23226886	9999872	4845	5211	5211	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b		35508		35508	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
e3-v2-native-attempt-v1	native	measured	16384	3	17	17	1	4a5532cf4b5b4d229532cf4b5b7d2284	true	true	true	put_acknowledged	true	true		1784920707460222776	1784920707497152005	1784920707507577582	1784920707483000064	1784920707494999808	34777032	22777288	11999744	17134	17502	17502	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db		36637		36637	complete	complete	complete	true	N400,N410	OW120,OW150,OW260,OW300,OW310,OW800	8b8c6c86ff80				
