experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id
C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434
C3	measured	measured	2	1	87efba291d0e42b9afba291d0e52b9ae
C3	measured	measured	3	1	f6701684595b48b8b01684595bd8b81c
C3	measured	measured	4	1	68bb6097e1354b77bb6097e1353b7729
C3	measured	measured	5	1	85829b4eb41f4678829b4eb41f767855
C3	measured	measured	6	1	51ad796769a94234ad796769a95234ae
C3	measured	measured	7	1	c1b58edf8c1a4672b58edf8c1af6727d
C3	measured	measured	8	1	145f11bcd88c4ca39f11bcd88cdca307
C3	measured	measured	9	1	4267fefeef6544d7a7fefeef6534d757
C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e
C3	measured	measured	11	1	d930ec8f3c914155b0ec8f3c916155f7
C3	measured	measured	12	1	008c84497fb349a98c84497fb359a9f3
C3	measured	measured	13	1	bb9ddb59855549349ddb59855539346f
C3	measured	measured	14	1	9fca2625a5cd46a98a2625a5cdb6a91a
C3	measured	measured	15	1	16f1325756b2417eb1325756b2d17e96
C3	measured	measured	16	1	bc2df24319974ecbadf2431997becbd5
C3	measured	measured	17	1	4a5532cf4b5b4d229532cf4b5b7d2284
C3	measured	measured	18	1	13bfb5776a314550bfb5776a3125504c
C3	measured	measured	19	1	723a55d0ec3e4229ba55d0ec3e22294d
C3	measured	measured	20	1	b29b0a57cb4a4ccb9b0a57cb4adccbf2
C3	measured	measured	21	1	781da739b2924b759da739b292db75a5
C3	measured	measured	22	1	2e26ee0efe084f43a6ee0efe08cf4331
C3	measured	measured	23	1	69afcec21ef04abfafcec21ef03abf0c
C3	measured	measured	24	1	8039dcf5bec34a86b9dcf5bec35a8641
C3	measured	measured	25	1	3afe67545ffa4d4fbe67545ffa3d4f06
C3	measured	measured	26	1	871541b8459e4a6b9541b8459e6a6b0c
C3	measured	measured	27	1	fa1ef5bbcd1b45d39ef5bbcd1b25d372
C3	measured	measured	28	1	885ff91f2e74448d9ff91f2e74c48d8a
C3	measured	measured	29	1	c4e1c61b6fec4d96a1c61b6fec1d9672
C3	measured	measured	30	1	330c297f57c948da8c297f57c968da09
C3	measured	measured	31	1	b9e86df5cb0a404ba86df5cb0a604bd3
C3	measured	measured	32	1	120958d3471b477f8958d3471bd77fb1
C3	measured	measured	33	1	8e39b65be7e340eab9b65be7e3b0ea7f
C3	measured	measured	34	1	a27ce5101d6c4f82bce5101d6cff82a8
C3	measured	measured	35	1	f8e0f8ac86dc4c70a0f8ac86dcfc7000
C3	measured	measured	36	1	c8f673a1354944c7b673a13549b4c76f
C3	measured	measured	37	1	dcbe8dd3ae244fa4be8dd3ae24ffa4ce
C3	measured	measured	38	1	1ab78264b68e47fab78264b68e47fa55
C3	measured	measured	39	1	029e4558da784f2f9e4558da781f2fba
