schema_version	experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id	event_code	event_instance_index	primary_event	selection_status	unix_ns	mono_ns	clock_domain	node	process	pid	tid	status	boundary_name	delivery_path	transaction_id	source_path	source_line	source_sha256
native-openwhisk-timing-event-v1	C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434	OW120	1	true	primary	1784920702875000000	2393114242752	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	757823f39350e4b4c5647cc11e19c509	observed_direct_marker	openwhisk_controller_invoke_enter		757823f39350e4b4c5647cc11e19c509	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	1	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434	OW150	1	true	primary	1784920702875000000	2393114296811	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	757823f39350e4b4c5647cc11e19c509	observed_direct_marker	openwhisk_activation_id_created		757823f39350e4b4c5647cc11e19c509	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	2	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434	OW260	1	true	primary	1784920702887000000	2393126852894	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	757823f39350e4b4c5647cc11e19c509	observed_direct_marker	openwhisk_activation_queue_enter	activation_queue_enter	757823f39350e4b4c5647cc11e19c509	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	1	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434	OW300	1	true	primary	1784920703578000000	2393817251376	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	757823f39350e4b4c5647cc11e19c509	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	direct_queued_activation_response	757823f39350e4b4c5647cc11e19c509	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	2	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434	OW310	1	true	primary	1784920703627000000	2397991838761	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	757823f39350e4b4c5647cc11e19c509	observed_direct_marker	openwhisk_worker_activation_received			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	1	1	b705279cb63944c485279cb639f4c434	OW800	1	true	primary	1784920704076000000	2398440681371	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	757823f39350e4b4c5647cc11e19c509	observed_direct_marker	openwhisk_result_notify_submit			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	14	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW120	1	true	primary	1784920706029000000	2396268239961	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_controller_invoke_enter		806adf2f957009939b4195100d32b9e1	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	19	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW150	1	true	primary	1784920706029000000	2396268282462	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_activation_id_created		806adf2f957009939b4195100d32b9e1	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	20	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW260	1	true	primary	1784920706033000000	2396272343531	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_activation_queue_enter	activation_queue_enter	806adf2f957009939b4195100d32b9e1	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	27	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW300	1	true	primary	1784920706033000000	2396272465094	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	806adf2f957009939b4195100d32b9e1	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	28	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
