experiment_id	window_size	profile	phase	size_bytes	ordinal	logical_request_id	attempt_id	activation_id	client_start_unix_ns	client_end_unix_ns	http_status	http_request_bytes	http_response_bytes	terminal_status	terminal_success	blocking_result_sha256	activation_get_first_success_unix_ns	activation_get_response_bytes	activation_get_result_sha256	activation_get_result_match
C3	1	native	measured	1024	1	1	1	b705279cb63944c485279cb639f4c434	1784920702780166487	1784920704092080990	200	1771	2172	success	true	7110f2c91fb9ed0843b3517e18ec09a2eaad2dd411707ce157e058993343b12b	1784920704110657657	2172	7110f2c91fb9ed0843b3517e18ec09a2eaad2dd411707ce157e058993343b12b	true
C3	1	native	measured	4096	2	2	1	87efba291d0e42b9afba291d0e52b9ae	1784920704112635982	1784920704153892104	200	4843	5210	success	true	5f7fd0715f6ea9d74d0b954ff732756e2db259df747855d881964feb254e4abe	1784920704169074172	5210	5f7fd0715f6ea9d74d0b954ff732756e2db259df747855d881964feb254e4abe	true
C3	1	native	measured	16384	3	3	1	f6701684595b48b8b01684595bd8b81c	1784920704171411690	1784920704217401681	200	17132	17500	success	true	e70a88bb0e0a5fe30842d6975506b7e917ee38d2afb504041caa34ea7549fb23	1784920704229452484	17500	e70a88bb0e0a5fe30842d6975506b7e917ee38d2afb504041caa34ea7549fb23	true
C3	1	native	measured	65536	4	4	1	68bb6097e1354b77bb6097e1353b7729	1784920704232343708	1784920704292336967	200	66284	66654	success	true	1a6218058edd6c5887e4db6bfd30f6106038699bbb1eaac20c6d1f5536c80205	1784920704306145852	66654	1a6218058edd6c5887e4db6bfd30f6106038699bbb1eaac20c6d1f5536c80205	true
C3	1	native	measured	262144	5	5	1	85829b4eb41f4678829b4eb41f767855	1784920704311457662	1784920704449291401	200	262893	263265	success	true	4a1164f31e339519673709e6d8e6d95faf3bff626be04774084b438e96a0195d	1784920704486156574	263265	4a1164f31e339519673709e6d8e6d95faf3bff626be04774084b438e96a0195d	true
C3	1	native	measured	1048576	6	6	1	51ad796769a94234ad796769a95234ae	1784920704497715110	1784920704752388056	200	1049326	1049702	success	true	a6aafc7953a19353df0aa9373b00f40f2a85820af46ba7393b55fa5b8361ba71	1784920704819794624	1049702	a6aafc7953a19353df0aa9373b00f40f2a85820af46ba7393b55fa5b8361ba71	true
C3	1	native	measured	4194304	7	7	1	c1b58edf8c1a4672b58edf8c1af6727d	1784920704860064078	1784920705474382868	200	4195054	4195430	success	true	958d0748669d7d312baf3ba2b5ea8640736fbe5b1a430f48a4f2607cf32df911	1784920705643184584	4195430	958d0748669d7d312baf3ba2b5ea8640736fbe5b1a430f48a4f2607cf32df911	true
C3	1	native	measured	1024	8	8	1	145f11bcd88c4ca39f11bcd88cdca307	1784920705698971614	1784920705735173987	200	1771	2137	success	true	1bc84c25a988d820943034187208d17116be150f8afa62e2baee92688fb49d3c	1784920705959957670	2137	1bc84c25a988d820943034187208d17116be150f8afa62e2baee92688fb49d3c	true
C3	1	native	measured	4096	9	9	1	4267fefeef6544d7a7fefeef6534d757	1784920705964734096	1784920705996984299	200	4843	5209	success	true	8f1c6fa3ac119a99913e5a7b9512b6e6aefd5f4fe5f301ca4966ae42d64848df	1784920706021041985	5209	8f1c6fa3ac119a99913e5a7b9512b6e6aefd5f4fe5f301ca4966ae42d64848df	true
C3	1	native	measured	16384	10	10	1	f9e5435591cf473da5435591cf473d4e	1784920706023264154	1784920706060112972	200	17134	17502	success	true	9a0ae41e4550c276d94fbabcbbd74cb47f99dbc11f0c74623d0139d5fe7ba61f	1784920706081771850	17502	9a0ae41e4550c276d94fbabcbbd74cb47f99dbc11f0c74623d0139d5fe7ba61f	true
C3	1	native	measured	65536	11	11	1	d930ec8f3c914155b0ec8f3c916155f7	1784920706084925049	1784920706125399454	200	66286	66654	success	true	ecc6754ccb4e35e8f7996887f744ca31f7f323aea2a266aba6ead17a1cf01ffa	1784920706148059369	66654	ecc6754ccb4e35e8f7996887f744ca31f7f323aea2a266aba6ead17a1cf01ffa	true
C3	1	native	measured	262144	12	12	1	008c84497fb349a98c84497fb359a9f3	1784920706153508351	1784920706279057145	200	262895	263267	success	true	b7314a280ece31b7d32af6fc320f4f63bb8efd912555ddcbae6734bf3e563a07	1784920706330646089	263267	b7314a280ece31b7d32af6fc320f4f63bb8efd912555ddcbae6734bf3e563a07	true
C3	1	native	measured	1048576	13	13	1	bb9ddb59855549349ddb59855539346f	1784920706344065736	1784920706521399067	200	1049328	1049703	success	true	ec4c1ab6dac2b537ddf921ea39f469af3e872ce7f847259fd721381bf56a1c48	1784920706588130858	1049703	ec4c1ab6dac2b537ddf921ea39f469af3e872ce7f847259fd721381bf56a1c48	true
C3	1	native	measured	4194304	14	14	1	9fca2625a5cd46a98a2625a5cdb6a91a	1784920706633862181	1784920707125085550	200	4195056	4195432	success	true	b38baccd34c1865aae1bde8a2afd94a85bf0a24b28dd0dc87283b77d732a3175	1784920707294140204	4195432	b38baccd34c1865aae1bde8a2afd94a85bf0a24b28dd0dc87283b77d732a3175	true
