source_role	source_path	bytes	sha256	selector	clock_domain	join_key
attempt_mapping	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/structured/all-attempts.tsv	52761	ae552667ec18d88162735deefd72a2f33be3e98cc825c158d69b68a7b8ecf26b	all rows	identity	activation_id
client	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/run/measured/shared-timing-events.tsv	280029	d761288d09f381e9adc269330cca6722b252b05af5d0de866edeb3972738fea7	all completed rows	unix_ns	activation_id
controller	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/openwhisk-direct-events/controller.filtered.log	667800	ecb2fe7d019da2292466e47117a63c18d5886430c59df0e19b5c0e3dfaf4e57e	activation_id exact	openwhisk_controller_jvm_mono	activation_id
scheduler	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/openwhisk-direct-events/scheduler.filtered.log	2044348	90eb1613e93c2b05af96ec313e4d97a5d88d3ac3e9775fddf053b60d505253e3	activation_id exact	openwhisk_scheduler_jvm_mono	activation_id
invoker	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/openwhisk-direct-events/invokers.filtered.log	1531287	708e829d6404251516ac165cb2d8a16ded302d2a3314a4185e43a04cd96b0c53	activation_id exact	openwhisk_invoker_jvm_mono	activation_id
gateway	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/gateway/gateway-filtered.log	367031	710c556f793111c538fba7bed7cefa0fe46f90bac9eafaf987e833daf7494c5e	exact formal line range plus RID	gateway_unix_ns	RID,target_binding_id
target_runtime	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/structured/profile-timing-events.tsv	775530	c42c29eb9f86e00b9e981a636b12d9c1fa1a8ea47908f8333053700d5b12c402	completed activation direct markers	unix_ns/enclave_tsc	activation_id
runtime_profile	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/structured/runtime-profile-events.tsv	6322708	3ebdf9c7c9759e40653ee57cb922fc341dde90d5e6beb2a633b153439f7d16b1	activation GET marker allowlist	runtime_stdout_unix	activation_id,container_id
activation_store	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/structured/store-timing-events.tsv	147111	06e393bd05c6b7ec71cecee6f53a26af8b7a39511ede994f99d2b7866f882cbd	completed activation DB markers	unix_ns	activation_id
verification	<collection-root>/collections/365_c3-reusable-concurrency-e3-v2-seven-size-single-batch-same-authority-replacement/recovery/structured/verification.tsv	319448	a8ab575b0d2cf404148eba63bf8f4a8bf1d243faa62a9e6603c10d49f3e06b39	terminal completed rows	mixed direct	activation_id,RID
