source_id,evidence_type,repository,ref,path,locator,sha256,claim
asyncs-kms-msk,source-derived,asyncs/acsc,763a586673aa8b11840c4a2b59280c337028ec94,sgx_kms/Enclave/Enclave.cpp,lines 24-40 and 260-318,b328a7f62755280653409c9802520e142f82ebacdc1e0248ef19269a23f13c52,"g_msk is a 32-byte persistent authority secret; sealed framing is not secret payload"
asyncs-bfibe-g2,source-derived,asyncs/acsc,763a586673aa8b11840c4a2b59280c337028ec94,trusted/bfibe_mcl.cpp,lines 176-203,3aba5cdf49d1cf4279acf5d4b077ec262bc56be8d25fea5bc643e6b8c7e12a20,"BF-IBE private capabilities serialize as BLS12-381 G2; local mcl size probe returned g2=96"
asyncs-worker-capabilities,source-derived,asyncs/acsc,763a586673aa8b11840c4a2b59280c337028ec94,sgx_worker/Enclave/Enclave.cpp,lines 234-239 and 583-681,bc1155f8c697b583be3001ae8bb0fa5fa7d508496228838ada13c69ecdb49420,"a loaded BF-IBE placement retains request-key and function-key private capabilities"
asyncs-canonical-fid,source-derived,asyncs/acsc,763a586673aa8b11840c4a2b59280c337028ec94,client_sdk/sdk.py,lines 100-129,6ab92e1cf5b67cc9275c6e0b4946519c60445535c65201f8950b06909e301cb7,"canonical FID is a SHA-256 digest; model counts 32 payload bytes rather than its hex/storage representation"
asyncs-worker-bfibe-storage,source-derived,asyncs/acsc,763a586673aa8b11840c4a2b59280c337028ec94,sgx_worker/Enclave/Enclave.cpp,lines 234-239,bc1155f8c697b583be3001ae8bb0fa5fa7d508496228838ada13c69ecdb49420,"declared BF-IBE retained storage is 256+4+256+4+128+1=649 bytes per placement"
asyncs-worker-elf-symbols,artifact-measured,asyncs/acsc-local-build,763a586673aa8b11840c4a2b59280c337028ec94,sgx_worker/enclave.so,"nm -S symbols g_bfibe_request_sk through g_bfibe_key_loaded",5e21b5ab6d3cb56ba8d81c16019830f364fa8221140cfd2a0a79ad417855bcfa,"symbol span is 705 bytes, hence 56 bytes linker padding beyond declared storage; no allocator overhead is inferred"
reusable-session-aek,source-derived,reusable/reusable-enclaves-dcap,be45e07a9bcae6032a6dcdd71bbcacf712a55e9a,Include/dh_session_protocol.h,lines 49-66,5ad065d69412fbb6a96c6578d8a53fe5ac5ef7c2bb366c180bd2da4c3025fce3,"active session retains one sgx_key_128bit_t AEK per placement"
reusable-session-binding,source-derived,reusable/reusable-enclaves-dcap,be45e07a9bcae6032a6dcdd71bbcacf712a55e9a,Include/dh_session_protocol.h,lines 49-66,5ad065d69412fbb6a96c6578d8a53fe5ac5ef7c2bb366c180bd2da4c3025fce3,"active session retains a 4-byte session id and 4-byte counter per placement"
wallet-object-model,paper-model,Wallet paper and official artifact,4a951b520a4b76f0c9b2536f2ed1c20bb0bfeb57,"docs/confirmed-conclusions.md; module/app/t.c","Wallet paper sections 4.3 and 5.5; confirmed-conclusions lines 127-171",273b9c3af12777da8c98ba10e0d8d90c8dc1f041eef90b9864f678072fff5e2d,"one provider private-key object per function and one copy per configured monitor are paper-backed; artifact key/report path is incomplete so bytes remain N/A"
cofunc-object-model,paper-model,CoFunc paper and official artifact,7c41d63a1e40c9bddc7d0ba70c5b11c09fc80b90,"docs/confirmed-conclusions.md; cofunc artifact","CoFunc paper sections 2.2, 3.2, and 4.4; confirmed-conclusions lines 193-203",,"one tenant key per tenant plus a copy in each active CVM are paper-backed; artifact lacks the complete key data plane so bytes remain N/A"
