profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	target_binding_id	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
asyncs	compression-derived-random256k-level6-v1	1	1	3b75a2976176475cb5a2976176d75c6c	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		332	1024	4657	1784761414198122219	1784761414796357225	1784761414809999872	598.235006	611.877653	169.381806	235.805676	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	2	2	915fd7dfe4214caa9fd7dfe4212caa0d	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		ecf3e7a38895	<deployment-ip>		348	1024	4657	1784761414199736392	1784761414869429262	1784761414880999936	669.69287	681.263544	210.017587	282.349335	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	3	3	9e134ba9c2a94f85934ba9c2a96f855d	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		7eab2344c813	<deployment-ip>		207	1024	4657	1784761414200780697	1784761414773401146	1784761414795000064	572.620449	594.219367	241.215213	318.55713	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	4	4	5d7badd58be04d95bbadd58be08d9537	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		ecf3e7a38895	<deployment-ip>		13	1024	4656	1784761415020468587	1784761415353266133	1784761415360000000	332.797546	339.531413	208.971321	286.382683	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	5	5	3fe87b9a9a4d485ea87b9a9a4d385efe	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		12	1024	4656	1784761415022756304	1784761415293981562	1784761415303000064	271.225258	280.24376	172.285604	240.56388	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	6	6	1dc8e9288af14a7f88e9288af10a7fef	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		7eab2344c813	<deployment-ip>		12	1024	4656	1784761415105312987	1784761415425063264	1784761415433000192	319.750277	327.687205	219.478358	292.555306	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	7	7	33f98378156d41e7b98378156d71e7dc	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		7	1024	4655	1784761415306129833	1784761415560415708	1784761415573999872	254.285875	267.870039	169.617538	231.685358	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	8	8	4c7641910f024d25b641910f02ed255d	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		ecf3e7a38895	<deployment-ip>		6	1024	4655	1784761415363595277	1784761415697675610	1784761415707000064	334.080333	343.404787	233.908717	309.726008	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	9	9	8f82723846754a8482723846752a8427	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		7eab2344c813	<deployment-ip>		16	1024	4656	1784761415437190150	1784761415759970794	1784761415775000064	322.780644	337.809914	207.283729	286.759215	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
asyncs	compression-derived-random256k-level6-v1	10	10	7a3873041438401eb873041438201efd	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		7	1024	4655	1784761415718120201	1784761415969581233	1784761415979000064	251.461032	260.879863	168.421962	231.48051	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
