profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	target_binding_id	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
asyncs	dynamic-html-derived-v1	1	1	ae0effa896a4419e8effa896a4219ee6	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		fe2cceff68c2	<deployment-ip>		503	1024	4657	1784761162703064845	1784761163608900273	1784761163616000000	905.835428	912.935155	327.560094	341.780118	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	2	2	0752ae0a2de8484792ae0a2de82847e1	true	true	true	false	kms_not_contacted,key_cache_hit,function_cache_hit,no_positive_init	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		7eab2344c813	<deployment-ip>	65	799	1024	4688	1784761162704811053	1784761166855473425	1784761166763000064	4150.662372	4058.189011	987.937592	1072.617681	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	3	3	b91dcf16428042dc9dcf16428042dc74	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		fe2cceff68c2	<deployment-ip>		121	1024	4657	1784761162705819640	1784761163224729048	1784761163244000000	518.909408	538.18036	325.345473	334.348218	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	4	4	80a9ce93018644d1a9ce93018624d114	true	true	true	true	warm	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		fe2cceff68c2	<deployment-ip>		377	1024	4657	1784761163253523536	1784761163988692946	1784761163996999936	735.16941	743.4764	324.320382	333.325199	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	5	5	a766797e26d547aca6797e26d587ac23	true	true	true	false	kms_not_contacted,key_cache_hit,function_cache_hit,no_positive_init	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request		ecf3e7a38895	<deployment-ip>	76	33	1024	4687	1784761163647032379	1784761166737226473	1784761166740000000	3090.194094	3092.967621	1037.197993	1125.851076	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	6	6	6773f74f16a64113b3f74f16a6211364	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		14	1024	4656	1784761164015352886	1784761164384836954	1784761164400000000	369.484068	384.647114	324.353379	333.301675	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	7	7	120a20fa13cb449a8a20fa13cbc49a34	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		14	1024	4656	1784761164404569331	1784761164779631399	1784761164805000192	375.062068	400.430861	324.772817	338.282048	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	8	8	196c439979e448a3ac439979e4e8a3dc	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		17	1024	4656	1784761165019067185	1784761165394434822	1784761165407000064	375.367637	387.932879	323.322576	332.134577	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	9	9	2110838a54ed4af590838a54ed6af5f4	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		12	1024	4656	1784761165416324102	1784761165794574460	1784761165796000000	378.250358	379.675898	323.518785	332.403	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
asyncs	dynamic-html-derived-v1	10	10	8f915737fd574792915737fd57479262	true	true	true	true	warm	true	false	unavailable_cross_process_clock_domain			fe2cceff68c2	<deployment-ip>		12	1024	4656	1784761165813776553	1784761166177944729	1784761166187000064	364.168176	373.223511	323.425787	332.253308	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
