profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
native	compression-derived-random256k-level6-v1	1	1	00b56351c13b4413b56351c13b641374	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		126	1024	4704	1784742214233082963	1784742214386330169	1784742214413000192	153.247206	179.917229	7.020755	7.043583	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	2	2	128495dfa5104ec38495dfa5102ec3f1	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		147	1024	4703	1784742214234777714	1784742214453244015	1784742214460999936	218.466301	226.222222	6.248926	6.262269	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	3	3	429ff448923c476b9ff448923c076b7b	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		137	1024	4703	1784742214235790891	1784742214434391600	1784742214424000000	198.600709	188.209109	6.102161	6.117511	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	4	4	87a0fc4aa4924b64a0fc4aa4924b6483	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		49	1024	4703	1784742214449614324	1784742214534594863	1784742214533999872	84.980539	84.385548	7.397329	7.413595	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	5	5	3eeef8ff3b0f4d15aef8ff3b0fdd15c1	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		22	1024	4703	1784742214489828324	1784742214580027072	1784742214552999936	90.198748	63.171612	5.836007	5.860299	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	6	6	f1276fba28744a0ea76fba2874ca0ed3	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		16	1024	4703	1784742214498625013	1784742214578864870	1784742214560000000	80.239857	61.374987	12.939643	12.956819	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	7	7	fd9a9f235e4b40f39a9f235e4bb0f3dc	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		19	1024	4703	1784742214572602933	1784742214633893454	1784742214621999872	61.290521	49.396939	7.766246	7.782838	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	8	8	6289d6d452894dc389d6d45289cdc34f	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		10	1024	4702	1784742214600102618	1784742214648791458	1784742214640999936	48.68884	40.897318	5.837689	5.864308	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	9	9	bcaff5693afe4c84aff5693afe9c8440	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		7	1024	4701	1784742214613285495	1784742214651428210	1784742214660000000	38.142715	46.714505	5.630545	5.642672	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	10	10	7fab9a399a37448cab9a399a37c48ca6	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		38	1024	4702	1784742214661704892	1784742214745439829	1784742214732000000	83.734937	70.295108	6.889325	6.907428	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
