profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
native	dynamic-html-derived-v1	1	1	d0d94a8183344ae6994a8183348ae6e8	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		185	1024	4704	1784742082873338947	1784742083161467608	1784742083160000000	288.128661	286.661053	9.598663	9.614224	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	2	2	97b86a724d4d462bb86a724d4da62bf9	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		143	1024	4704	1784742082875099520	1784742083065723311	1784742083092000000	190.623791	216.90048	14.091483	14.137938	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	3	3	006c523936134fe8ac523936139fe8de	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		192	1024	4704	1784742082878035816	1784742083129328393	1784742083140999936	251.292577	262.96412	20.503046	20.62808	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	4	4	3d4068895e8644548068895e861454b0	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		31	1024	4703	1784742083113464015	1784742083198653422	1784742083191000064	85.189407	77.536049	11.359484	11.375843	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	5	5	88c7c030ca8844e387c030ca8874e3a0	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		29	1024	4703	1784742083171293502	1784742083262906249	1784742083244999936	91.612747	73.706434	14.561652	14.57719	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	6	6	57551074b5d64762951074b5d6b76258	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		28	1024	4703	1784742083194597456	1784742083279877191	1784742083269999872	85.279735	75.402416	13.605817	13.619359	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	7	7	86e8b720fbd84aaba8b720fbd8eaab0e	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		29	1024	4703	1784742083250193624	1784742083330408494	1784742083313999872	80.21487	63.806248	12.264845	12.280755	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	8	8	81a999fc72b44f05a999fc72b46f0524	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		26	1024	4703	1784742083299678824	1784742083357488524	1784742083362999808	57.8097	63.320984	9.466943	9.480207	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	9	9	efd6c2611e7e4e6596c2611e7e4e65f5	true	true	true	false	positive_init_time	false	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0	141	100	1024	4736	1784742083322818873	1784742083702934002	1784742083664999936	380.115129	342.181063	29.804905	29.98119	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	10	10	ce303cb69db34ca2b03cb69db3dca218	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		17	1024	4703	1784742083363169409	1784742083423729370	1784742083416999936	60.559961	53.830527	16.105256	16.121015	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	11	11	dcde312c5d6f432b9e312c5d6f732b32	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		32	1024	4703	1784742083376217401	1784742083447071666	1784742083441999872	70.854265	65.782471	9.520458	9.533298	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	12	12	f931d032ed3f4eb9b1d032ed3f2eb949	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		25	1024	4703	1784742083448101421	1784742083509084171	1784742083504000000	60.98275	55.898579	9.68836	9.70353	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	13	13	68f180a2df524b43b180a2df521b4375	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		26	1024	4703	1784742083471077353	1784742083532538979	1784742083543000064	61.461626	71.922711	10.729079	10.744518	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	14	14	1b0912d0497b4cd58912d0497b8cd5fa	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		26	1024	4703	1784742083549644327	1784742083619226861	1784742083612999936	69.582534	63.355609	10.634329	10.6495	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	15	15	cc2ff3b5a73447fdaff3b5a73447fd6d	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		34	1024	4703	1784742083571897978	1784742083650051547	1784742083647000064	78.153569	75.102086	9.56622	9.579565	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	16	16	1c4121af7ddb47f88121af7ddbf7f8c0	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		26	1024	4703	1784742083633964319	1784742083699638263	1784742083693000192	65.673944	59.035873	9.489523	9.503662	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	17	17	2dd7bad2a33c49b797bad2a33cd9b792	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		28	1024	4703	1784742083677001605	1784742083735871117	1784742083744000000	58.869512	66.998395	9.48028	9.494086	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	18	18	4f4cda50ed6b44af8cda50ed6b94af5e	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		49	1024	4703	1784742083724270849	1784742083805602735	1784742083808000000	81.331886	83.729151	9.544674	9.558289	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	19	19	bbc5b20a49734c2085b20a49735c2007	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		27	1024	4703	1784742083755063547	1784742083822555988	1784742083822000128	67.492441	66.936581	10.198523	10.256904	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	20	20	3a0e90b15df048988e90b15df0a898e7	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		57	1024	4703	1784742083767661447	1784742083877802478	1784742083865999872	110.141031	98.338425	9.410834	9.424332	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	21	21	c391400f345c42fb91400f345c12fbe3	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		28	1024	4703	1784742083862016434	1784742083929053145	1784742083920000000	67.036711	57.983566	9.554854	9.568333	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	22	22	6074d52a9448442eb4d52a9448f42e38	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		27	1024	4703	1784742083879628616	1784742083964287564	1784742083948999936	84.658948	69.37132	10.514006	10.529522	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	23	23	ccdc389b407d45ea9c389b407da5ea47	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		13	1024	4703	1784742083905741428	1784742083974461828	1784742083972999936	68.7204	67.258508	9.810241	9.873024	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	24	24	a80ca991d48a49f98ca991d48a79f997	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		20	1024	4703	1784742083960748357	1784742084027946174	1784742084026000128	67.197817	65.251771	17.761722	17.779685	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	25	25	8a1152ea2414492e9152ea2414e92ec8	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		31	1024	4703	1784742083991735442	1784742084070083903	1784742084064000000	78.348461	72.264558	13.666132	13.681264	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
native	dynamic-html-derived-v1	26	26	f83aae18dd2c43c8baae18dd2c83c877	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		23	1024	4703	1784742083995384297	1784742084074438311	1784742084061000192	79.054014	65.615895	17.54115	17.571673	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
