experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id
C5	dynamic-html-derived-v1-measured	measured	1	1	d0d94a8183344ae6994a8183348ae6e8
C5	dynamic-html-derived-v1-measured	measured	2	1	97b86a724d4d462bb86a724d4da62bf9
C5	dynamic-html-derived-v1-measured	measured	3	1	006c523936134fe8ac523936139fe8de
C5	dynamic-html-derived-v1-measured	measured	4	1	3d4068895e8644548068895e861454b0
C5	dynamic-html-derived-v1-measured	measured	5	1	88c7c030ca8844e387c030ca8874e3a0
C5	dynamic-html-derived-v1-measured	measured	6	1	57551074b5d64762951074b5d6b76258
C5	dynamic-html-derived-v1-measured	measured	7	1	86e8b720fbd84aaba8b720fbd8eaab0e
C5	dynamic-html-derived-v1-measured	measured	8	1	81a999fc72b44f05a999fc72b46f0524
C5	dynamic-html-derived-v1-measured	measured	9	1	efd6c2611e7e4e6596c2611e7e4e65f5
C5	dynamic-html-derived-v1-measured	measured	10	1	ce303cb69db34ca2b03cb69db3dca218
C5	dynamic-html-derived-v1-measured	measured	11	1	dcde312c5d6f432b9e312c5d6f732b32
C5	dynamic-html-derived-v1-measured	measured	12	1	f931d032ed3f4eb9b1d032ed3f2eb949
C5	dynamic-html-derived-v1-measured	measured	13	1	68f180a2df524b43b180a2df521b4375
C5	dynamic-html-derived-v1-measured	measured	14	1	1b0912d0497b4cd58912d0497b8cd5fa
C5	dynamic-html-derived-v1-measured	measured	15	1	cc2ff3b5a73447fdaff3b5a73447fd6d
C5	dynamic-html-derived-v1-measured	measured	16	1	1c4121af7ddb47f88121af7ddbf7f8c0
C5	dynamic-html-derived-v1-measured	measured	17	1	2dd7bad2a33c49b797bad2a33cd9b792
C5	dynamic-html-derived-v1-measured	measured	18	1	4f4cda50ed6b44af8cda50ed6b94af5e
C5	dynamic-html-derived-v1-measured	measured	19	1	bbc5b20a49734c2085b20a49735c2007
C5	dynamic-html-derived-v1-measured	measured	20	1	3a0e90b15df048988e90b15df0a898e7
C5	dynamic-html-derived-v1-measured	measured	21	1	c391400f345c42fb91400f345c12fbe3
C5	dynamic-html-derived-v1-measured	measured	22	1	6074d52a9448442eb4d52a9448f42e38
C5	dynamic-html-derived-v1-measured	measured	23	1	ccdc389b407d45ea9c389b407da5ea47
C5	dynamic-html-derived-v1-measured	measured	24	1	a80ca991d48a49f98ca991d48a79f997
C5	dynamic-html-derived-v1-measured	measured	25	1	8a1152ea2414492e9152ea2414e92ec8
C5	dynamic-html-derived-v1-measured	measured	26	1	f83aae18dd2c43c8baae18dd2c83c877
C5	dynamic-html-derived-v1-measured	measured	27	1	ae7e1a10b5fc4b7fbe1a10b5fceb7f95
C5	dynamic-html-derived-v1-measured	measured	28	1	c44799d333834cec8799d333838cec83
C5	dynamic-html-derived-v1-measured	measured	29	1	8356a2ba8343452096a2ba834305208f
C5	dynamic-html-derived-v1-measured	measured	30	1	f6bf780d32884fbfbf780d32886fbf3f
C5	dynamic-html-derived-v1-measured	measured	31	1	a0e9da4dbd33418fa9da4dbd33318f8e
C5	dynamic-html-derived-v1-measured	measured	32	1	a723d9cef22242b8a3d9cef22232b82d
C5	dynamic-html-derived-v1-measured	measured	33	1	cf13c76b482f4c2f93c76b482fdc2f0d
C5	dynamic-html-derived-v1-measured	measured	34	1	3556fbfa22e446bb96fbfa22e486bb14
C5	dynamic-html-derived-v1-measured	measured	35	1	17fad07fd4434b09bad07fd443fb0951
C5	dynamic-html-derived-v1-measured	measured	36	1	bba9280c63704b69a9280c6370fb691f
C5	dynamic-html-derived-v1-measured	measured	37	1	3bd0e215d7f14bef90e215d7f16bef41
C5	dynamic-html-derived-v1-measured	measured	38	1	27422d86cd9d4cac822d86cd9d4cacb0
C5	dynamic-html-derived-v1-measured	measured	39	1	1fb66350b8f74e6ab66350b8f77e6a55
C5	dynamic-html-derived-v1-measured	measured	40	1	b2c3c51d9aa0442283c51d9aa00422aa
C5	dynamic-html-derived-v1-measured	measured	41	1	4503454b4823482c83454b4823482cf0
C5	dynamic-html-derived-v1-measured	measured	42	1	2f72724e6f064e3ab2724e6f06de3a6e
C5	dynamic-html-derived-v1-measured	measured	43	1	fc679757a8f04a46a79757a8f08a467d
C5	dynamic-html-derived-v1-measured	measured	44	1	ecee89797abc41f3ae89797abc81f34c
C5	dynamic-html-derived-v1-measured	measured	45	1	be309f796d794fcfb09f796d797fcf10
C5	dynamic-html-derived-v1-measured	measured	46	1	a249e750b5d642e989e750b5d6b2e9e5
C5	dynamic-html-derived-v1-measured	measured	47	1	f35123cd66a34bab9123cd66a3fbab31
C5	dynamic-html-derived-v1-measured	measured	48	1	8028c1962ace499ca8c1962acee99ca0
C5	dynamic-html-derived-v1-measured	measured	49	1	cdf2b88ff2a949c8b2b88ff2a9c9c8b6
C5	dynamic-html-derived-v1-measured	measured	50	1	d531611e22b74fa0b1611e22b7ffa003
C5	dynamic-html-derived-v1-measured	measured	51	1	e7131995849944239319958499942322
C5	dynamic-html-derived-v1-measured	measured	52	1	d9d7d3ace30344bc97d3ace30344bc2b
C5	dynamic-html-derived-v1-measured	measured	53	1	5ca0936e63604a16a0936e63603a1669
C5	dynamic-html-derived-v1-measured	measured	54	1	b0eea81d6dd44d24aea81d6dd43d2413
C5	dynamic-html-derived-v1-measured	measured	55	1	96f18947e17244efb18947e172e4ef62
C5	dynamic-html-derived-v1-measured	measured	56	1	d9448fb5d772485d848fb5d772585d95
C5	dynamic-html-derived-v1-measured	measured	57	1	c14ccc94600f41238ccc94600f01233f
