profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	target_binding_id	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
reusable-concurrency	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		34	1024	4652	1784788158660997597	1784788159226596802	1784788159240000000	565.599205	579.002403	488.108134	488.108134	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	2	2	513896727be64c0bb896727be6ec0b33	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		26	1024	4652	1784788158671983920	1784788159265977669	1784788159295000064	593.993749	623.016144	517.849707	517.849707	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	3	3	b77268feca84436fb268feca84236f38	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>		27	1024	4652	1784788158673825141	1784788159283519396	1784788159290999808	609.694255	617.174667	523.865023	523.865023	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	4	4	ba10c582545e46af90c582545e66af14	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		22	1024	4652	1784788159254498997	1784788159800773579	1784788159805000192	546.274582	550.501195	485.330133	485.330133	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	5	5	8c75df1f270f436cb5df1f270f536ca5	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		12	1024	4652	1784788159322066080	1784788159870779504	1784788159867000064	548.713424	544.933984	501.58521	501.58521	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	6	6	577e9f0b4eb6449dbe9f0b4eb6a49dee	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>		13	1024	4652	1784788159514949250	1784788160098168442	1784788160100000000	583.219192	585.05075	536.772004	536.772004	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	7	7	3e9031e9f3444f2b9031e9f3441f2bc1	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		10	1024	4652	1784788159811475136	1784788160249089530	1784788160252000000	437.614394	440.524864	393.064675	393.064675	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	8	8	f12148b1ee174b1ca148b1ee179b1cbe	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		10	1024	4652	1784788159880827572	1784788160446142629	1784788160456999936	565.315057	576.172364	530.926151	530.926151	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	9	9	c0ce1454c1d442af8e1454c1d4f2aff7	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>		12	1024	4652	1784788160115130865	1784788160701167436	1784788160713999872	586.036571	598.869007	538.540783	538.540783	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
reusable-concurrency	compression-derived-random256k-level6-v1	10	10	31de56e9ce3d49e39e56e9ce3d69e37f	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		16	1024	4652	1784788160260889280	1784788160837067164	1784788160836000000	576.177884	575.11072	510.386341	510.386341	262144	262207	902fb060a81c368caafcdc10768beda0604bdd238516e6a8cb850e83ee069fbc	4096	ok
