schema_version	experiment_id	profile	phase	workload_id	logical_request_id	attempt_id	activation_id	event_code	event_seq	clock_domain	timestamp_value	timestamp_unit	node	process	pid	status
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	R400	400	unix_ns	1784788158721615110	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	RF400	405	enclave_tsc_same_invocation	50501333647605	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	RF410	406	enclave_tsc_same_invocation	50502337566147	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	R410	410	unix_ns	1784788159209723244	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	R420	420	unix_ns	1784788159209741056	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	1	1	1b60a6a0f3914723a0a6a0f391172348	R430	430	unix_ns	1784788159210764269	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	2	1	513896727be64c0bb896727be6ec0b33	R400	400	unix_ns	1784788158734417416	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	2	1	513896727be64c0bb896727be6ec0b33	RF400	405	enclave_tsc_same_invocation	50500646171456	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	2	1	513896727be64c0bb896727be6ec0b33	RF410	406	enclave_tsc_same_invocation	50501719761853	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	2	1	513896727be64c0bb896727be6ec0b33	R410	410	unix_ns	1784788159252267123	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	2	1	513896727be64c0bb896727be6ec0b33	R420	420	unix_ns	1784788159252285357	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	2	1	513896727be64c0bb896727be6ec0b33	R430	430	unix_ns	1784788159254235877	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	3	1	b77268feca84436fb268feca84236f38	R400	400	unix_ns	1784788158729888789	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	3	1	b77268feca84436fb268feca84236f38	RF400	405	enclave_tsc_same_invocation	50500634490354	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	3	1	b77268feca84436fb268feca84236f38	RF410	406	enclave_tsc_same_invocation	50501720601034	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	3	1	b77268feca84436fb268feca84236f38	R410	410	unix_ns	1784788159253753812	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	3	1	b77268feca84436fb268feca84236f38	R420	420	unix_ns	1784788159253769623	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	3	1	b77268feca84436fb268feca84236f38	R430	430	unix_ns	1784788159255208573	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	4	1	ba10c582545e46af90c582545e66af14	R400	400	unix_ns	1784788159293097106	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	4	1	ba10c582545e46af90c582545e66af14	RF400	405	enclave_tsc_same_invocation	50502876649021	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	4	1	ba10c582545e46af90c582545e66af14	RF410	406	enclave_tsc_same_invocation	50503877470941	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	4	1	ba10c582545e46af90c582545e66af14	R410	410	unix_ns	1784788159778427239	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	4	1	ba10c582545e46af90c582545e66af14	R420	420	unix_ns	1784788159778447079	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	4	1	ba10c582545e46af90c582545e66af14	R430	430	unix_ns	1784788159780262341	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	5	1	8c75df1f270f436cb5df1f270f536ca5	R400	400	unix_ns	1784788159350795542	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	5	1	8c75df1f270f436cb5df1f270f536ca5	RF400	405	enclave_tsc_same_invocation	50502310351735	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	5	1	8c75df1f270f436cb5df1f270f536ca5	RF410	406	enclave_tsc_same_invocation	50503343545334	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	5	1	8c75df1f270f436cb5df1f270f536ca5	R410	410	unix_ns	1784788159852380752	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	5	1	8c75df1f270f436cb5df1f270f536ca5	R420	420	unix_ns	1784788159852397877	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	5	1	8c75df1f270f436cb5df1f270f536ca5	R430	430	unix_ns	1784788159855500295	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	6	1	577e9f0b4eb6449dbe9f0b4eb6a49dee	R400	400	unix_ns	1784788159544241425	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	6	1	577e9f0b4eb6449dbe9f0b4eb6a49dee	RF400	405	enclave_tsc_same_invocation	50502832622987	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	6	1	577e9f0b4eb6449dbe9f0b4eb6a49dee	RF410	406	enclave_tsc_same_invocation	50503919834021	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	6	1	577e9f0b4eb6449dbe9f0b4eb6a49dee	R410	410	unix_ns	1784788160081013429	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	6	1	577e9f0b4eb6449dbe9f0b4eb6a49dee	R420	420	unix_ns	1784788160081031282	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	6	1	577e9f0b4eb6449dbe9f0b4eb6a49dee	R430	430	unix_ns	1784788160082642367	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	7	1	3e9031e9f3444f2b9031e9f3441f2bc1	R400	400	unix_ns	1784788159838812532	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	7	1	3e9031e9f3444f2b9031e9f3441f2bc1	RF400	405	enclave_tsc_same_invocation	50504350100626	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	7	1	3e9031e9f3444f2b9031e9f3441f2bc1	RF410	406	enclave_tsc_same_invocation	50505104029628	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	7	1	3e9031e9f3444f2b9031e9f3441f2bc1	R410	410	unix_ns	1784788160231877207	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	7	1	3e9031e9f3444f2b9031e9f3441f2bc1	R420	420	unix_ns	1784788160231894312	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	7	1	3e9031e9f3444f2b9031e9f3441f2bc1	R430	430	unix_ns	1784788160233411021	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	8	1	f12148b1ee174b1ca148b1ee179b1cbe	R400	400	unix_ns	1784788159907473426	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	8	1	f12148b1ee174b1ca148b1ee179b1cbe	RF400	405	enclave_tsc_same_invocation	50503813326027	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	8	1	f12148b1ee174b1ca148b1ee179b1cbe	RF410	406	enclave_tsc_same_invocation	50504919533811	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	8	1	f12148b1ee174b1ca148b1ee179b1cbe	R410	410	unix_ns	1784788160438399577	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	8	1	f12148b1ee174b1ca148b1ee179b1cbe	R420	420	unix_ns	1784788160438426216	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	8	1	f12148b1ee174b1ca148b1ee179b1cbe	R430	430	unix_ns	1784788160439001675	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	9	1	c0ce1454c1d442af8e1454c1d4f2aff7	R400	400	unix_ns	1784788160152355305	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	9	1	c0ce1454c1d442af8e1454c1d4f2aff7	RF400	405	enclave_tsc_same_invocation	50504474549721	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	9	1	c0ce1454c1d442af8e1454c1d4f2aff7	RF410	406	enclave_tsc_same_invocation	50505601025041	cycles		reusable_wamr_enclave		observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	9	1	c0ce1454c1d442af8e1454c1d4f2aff7	R410	410	unix_ns	1784788160690896088	ns		reusable_wamr	1	observed
c5-timing-event-v1	C5	reusable-concurrency	measured	compression-derived-random256k-level6-v1	9	1	c0ce1454c1d442af8e1454c1d4f2aff7	R420	420	unix_ns	1784788160690928552	ns		reusable_wamr	1	observed
