profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	target_binding_id	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
reusable-concurrency	dynamic-html-derived-v1	1	1	fb90a8b3255345ef90a8b32553f5ef15	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		296	1024	4654	1784788046972400885	1784788049062508614	1784788049134000128	2090.107729	2161.599243	1701.04693	1701.04693	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	2	2	952930d7dd094f49a930d7dd095f4984	true	true	true	false	RG270.operation=CODE_INPUT	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>	109	802	1024	4685	1784788046975206433	1784788049463564717	1784788049484000000	2488.358284	2508.793567	1460.141477	1460.141477	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	3	3	32eb27ee62e1429bab27ee62e1929b55	true	true	true	false	RG270.operation=CODE_INPUT	false	false	false		4	target-binding:4	<deployment-ip>	54	1160	1024	4685	1784788046977801933	1784788049603667129	1784788049658999808	2625.865196	2681.197875	1173.499975	1173.499975	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	4	4	d1e031ca89c04100a031ca89c0c1007a	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		25	1024	4653	1784788049327090625	1784788050781844342	1784788050789999872	1454.753717	1462.909247	1332.209246	1332.209246	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	5	5	5f622d5129da4c0ea22d5129da7c0e17	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>		21	1024	4653	1784788049496418165	1784788051046142201	1784788051072999936	1549.724036	1576.581771	1455.061673	1455.061673	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	6	6	dd68ae5ce34243c1a8ae5ce34263c19e	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		24	1024	4652	1784788049837550944	1784788050677085739	1784788050683000064	839.534795	845.44912	754.379412	754.379412	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	7	7	738e570bea5240468e570bea52f046e4	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		41	1024	4652	1784788050695329634	1784788051550586593	1784788051578000128	855.256959	882.670494	750.574307	750.574307	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	8	8	23b3ec984ce24ea0b3ec984ce26ea011	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		24	1024	4653	1784788050820111741	1784788052467647524	1784788052489000192	1647.535783	1668.888451	1554.369934	1554.369934	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	9	9	95b06307246d4ff7b06307246d2ff7bd	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>		26	1024	4653	1784788051088129346	1784788052761483893	1784788052788999936	1673.354547	1700.87059	1580.192577	1580.192577	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	10	10	e6f98e0fafc74341b98e0fafc7e341bb	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		23	1024	4652	1784788051797984946	1784788052635072535	1784788052645999872	837.087589	848.014926	777.545612	777.545612	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	11	11	401f812d2c734efa9f812d2c735efa44	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	5	target-binding:5	<deployment-ip>		20	1024	4653	1784788052494411113	1784788053822613955	1784788053872999936	1328.202842	1378.588823	1256.526064	1256.526064	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	12	12	3f5adec0ee2c41bf9adec0ee2c01bfb1	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	true	false	false		4	target-binding:4	<deployment-ip>		28	1024	4652	1784788052668401617	1784788053474484979	1784788053492999936	806.083362	824.598319	748.635272	748.635272	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
reusable-concurrency	dynamic-html-derived-v1	13	13	bdb76e9f0cbe4827b76e9f0cbe182710	true	true	true	true	RG270.operation=INPUT,RG270.warmed=true	false	true	true	excluded_same_worker_concurrent_request	7	target-binding:7	<deployment-ip>		22	1024	4653	1784788052997026478	1784788054744889090	1784788054760999936	1747.862612	1763.973458	1672.282175	1672.282175	436	5701	cdb9944b223ec3c2b4cd08d7befbb9dc1f5aaccb0a82398268912268f3fc5d88	4096	ok
