schema_version	source_role	source_path	bytes	sha256	relevant_occurrence_count
c5-reusable-direct-event-source-v1	attempt_index	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/submit-metadata.tsv	93458	d1dd4ae9c1c020bfdc914c81bf82eb077295a66c3e92a7146c71428e44ad6569	0
c5-reusable-direct-event-source-v1	verifier_index	<protected-source>	139884	c80a3ef2fe868ec345d32bb1b76d4cb524c53d45bdc1ee0d68fa681449ee4fa9	0
c5-reusable-direct-event-source-v1	client	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/shared-timing-events.tsv	118629	4423cf9cb865224d47c6f71b730b79d6ee6d64c24dec8b1ec72ffc4792435c87	900
c5-reusable-direct-event-source-v1	runtime	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/profile-timing-events.tsv	341540	aebff3bc06d59a55acd119748f36bc067bc891f0c4367c1be704f7a336b20aa3	1800
c5-reusable-direct-event-source-v1	controller	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/direct-event-capture/controller-openwhisk.log	266400	3ef6ce6c69e3207fd946a54648091687b396b75003e8f5394ca35228c8dc8822	600
c5-reusable-direct-event-source-v1	scheduler	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/direct-event-capture/scheduler-openwhisk.log	826524	310e8af298b865257051dfec8d0dfffb916413573909c2d54f4f2f809227bb8f	1497
c5-reusable-direct-event-source-v1	gateway	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/direct-event-capture/gateway-reencrypt.log	157426	36ef7b1572b341c2713aa0dbe38a4e30e476e7b29fbbe5f8c1fa31599d3d7124	302
c5-reusable-direct-event-source-v1	invoker	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/direct-event-capture/worker-172_18_89_215-invoker0-openwhisk-store.log	274165	af5604ec63f3deb1f77fabd90473b020adfdf17766f671569bfa5ffa5cf48c62	791
c5-reusable-direct-event-source-v1	invoker	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/direct-event-capture/worker-172_18_89_217-invoker2-openwhisk-store.log	453215	f1b14f9eb2692a2e85422ce93de00cb384b9ebd29d8de7e2c5d2a38817ab27ad	1309
c5-reusable-direct-event-source-v1	invoker	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/dynamic-html-derived-v1/measured/direct-event-capture/worker-172_18_89_218-invoker3-openwhisk-store.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
